# Exhaustive K rule/declaration inventory
source_files=26
inventory_items=937
category_counts={'claim': 2, 'configuration': 1, 'context': 5, 'rule': 699, 'syntax': 230}
flag_counts={'concrete': 35, 'function': 148, 'macro': 4, 'opaque/no-evaluators': 22, 'owise': 26, 'priority': 45, 'strictness': 2, 'symbol': 25, 'total': 108}
per_file_counts:
  /candidate/spec.k: {'claim': 2}
  /candidate/verification.k: {'flag:function': 3, 'flag:total': 1, 'rule': 4, 'syntax': 3}
  /reference/reference-semantics/semantics/assert.k: {'flag:priority': 1, 'rule': 3}
  /reference/reference-semantics/semantics/bool.k: {'context': 1, 'flag:priority': 5, 'rule': 13}
  /reference/reference-semantics/semantics/builtins.k: {'flag:function': 29, 'flag:opaque/no-evaluators': 1, 'flag:owise': 10, 'flag:priority': 1, 'flag:symbol': 1, 'flag:total': 22, 'rule': 137, 'syntax': 38}
  /reference/reference-semantics/semantics/call.k: {'flag:function': 1, 'flag:owise': 2, 'flag:priority': 5, 'flag:total': 1, 'rule': 21, 'syntax': 3}
  /reference/reference-semantics/semantics/comprehension.k: {'flag:macro': 3, 'rule': 7, 'syntax': 3}
  /reference/reference-semantics/semantics/concrete.k: {'flag:function': 3, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 1, 'rule': 16, 'syntax': 5}
  /reference/reference-semantics/semantics/controls.k: {'flag:owise': 3, 'flag:priority': 6, 'rule': 34, 'syntax': 3}
  /reference/reference-semantics/semantics/core.k: {'configuration': 1, 'flag:function': 15, 'flag:owise': 3, 'flag:priority': 2, 'flag:total': 10, 'rule': 46, 'syntax': 37}
  /reference/reference-semantics/semantics/dict.k: {'flag:function': 8, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 4, 'rule': 28, 'syntax': 12}
  /reference/reference-semantics/semantics/float.k: {'flag:concrete': 26, 'flag:function': 26, 'flag:opaque/no-evaluators': 19, 'flag:priority': 4, 'flag:symbol': 22, 'flag:total': 25, 'rule': 121, 'syntax': 34}
  /reference/reference-semantics/semantics/functions.k: {'flag:priority': 1, 'rule': 15, 'syntax': 4}
  /reference/reference-semantics/semantics/int.k: {'flag:function': 1, 'rule': 16, 'syntax': 1}
  /reference/reference-semantics/semantics/iter.k: {'syntax': 1}
  /reference/reference-semantics/semantics/list.k: {'flag:function': 3, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 2, 'rule': 27, 'syntax': 5}
  /reference/reference-semantics/semantics/methods.k: {'flag:function': 27, 'flag:owise': 4, 'flag:priority': 3, 'flag:total': 22, 'rule': 75, 'syntax': 27}
  /reference/reference-semantics/semantics/operators.k: {'context': 2, 'flag:owise': 1, 'flag:priority': 5, 'rule': 10}
  /reference/reference-semantics/semantics/range.k: {'flag:function': 2, 'flag:total': 1, 'rule': 6, 'syntax': 2}
  /reference/reference-semantics/semantics/set.k: {'flag:function': 5, 'flag:total': 5, 'rule': 12, 'syntax': 6}
  /reference/reference-semantics/semantics/sort.k: {'flag:concrete': 9, 'flag:function': 6, 'flag:opaque/no-evaluators': 2, 'flag:priority': 1, 'flag:symbol': 2, 'flag:total': 4, 'rule': 19, 'syntax': 6}
  /reference/reference-semantics/semantics/str.k: {'flag:function': 5, 'flag:total': 4, 'rule': 28, 'syntax': 5}
  /reference/reference-semantics/semantics/subscript.k: {'context': 2, 'flag:function': 13, 'flag:priority': 2, 'flag:total': 6, 'rule': 40, 'syntax': 15}
  /reference/reference-semantics/semantics/syntax.k: {'flag:macro': 1, 'flag:strictness': 2, 'syntax': 16}
  /reference/reference-semantics/semantics/tuple.k: {'flag:function': 1, 'flag:priority': 3, 'rule': 21, 'syntax': 4}

id	file	line	kind	flags	decision	complete_statement
K0466	/reference/reference-semantics/semantics/float.k	125	syntax	function,total,opaque/no-evaluators,symbol	FIXED_TRUST_BOUNDARY; INERT_FOR_SUBMITTED_PROGRAM	syntax Bool ::= gtF(Float, Float) [function, total, symbol(gtF), no-evaluators]
K0467	/reference/reference-semantics/semantics/float.k	126	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule gtF(F1:Float, F2:Float) => F1 >Float F2 [concrete]
K0468	/reference/reference-semantics/semantics/float.k	127	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp(">", F1:Float, F2:Float) => gtF(F1, F2)
K0469	/reference/reference-semantics/semantics/float.k	128	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp(">=", F1:Float, F2:Float) => notBool floatLt(F1, F2)
K0470	/reference/reference-semantics/semantics/float.k	129	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("<=", F1:Float, F2:Float) => notBool gtF(F1, F2)
K0471	/reference/reference-semantics/semantics/float.k	132	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("**", I:Int, F:Float) => powF(intToF(I), F)
K0472	/reference/reference-semantics/semantics/float.k	133	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("**", F:Float, I:Int) => powF(F, intToF(I))
K0473	/reference/reference-semantics/semantics/float.k	134	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("-", I:Int, F:Float) => subF(intToF(I), F)
K0474	/reference/reference-semantics/semantics/float.k	135	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("-", F:Float, I:Int) => subF(F, intToF(I))
K0475	/reference/reference-semantics/semantics/float.k	136	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("+", I:Int, F:Float) => addF(intToF(I), F)
K0476	/reference/reference-semantics/semantics/float.k	137	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("+", F:Float, I:Int) => addF(F, intToF(I))
K0477	/reference/reference-semantics/semantics/float.k	138	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("*", I:Int, F:Float) => mulF(intToF(I), F)
K0478	/reference/reference-semantics/semantics/float.k	139	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("*", F:Float, I:Int) => mulF(F, intToF(I))
K0479	/reference/reference-semantics/semantics/float.k	142	syntax	function,total,opaque/no-evaluators,symbol	FIXED_TRUST_BOUNDARY; INERT_FOR_SUBMITTED_PROGRAM	syntax Bool ::= eqF(Float, Float) [function, total, symbol(eqF), no-evaluators]
K0480	/reference/reference-semantics/semantics/float.k	143	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule eqF(F1:Float, F2:Float) => F1 ==Float F2 [concrete]
K0481	/reference/reference-semantics/semantics/float.k	144	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("==", I:Int, F:Float) => eqF(intToF(I), F)
K0482	/reference/reference-semantics/semantics/float.k	145	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("==", F:Float, I:Int) => eqF(F, intToF(I))
K0483	/reference/reference-semantics/semantics/float.k	146	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("!=", I:Int, F:Float) => notBool eqF(intToF(I), F)
K0484	/reference/reference-semantics/semantics/float.k	147	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("!=", F:Float, I:Int) => notBool eqF(F, intToF(I))
K0485	/reference/reference-semantics/semantics/float.k	148	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("<", I:Int, F:Float) => floatLt(intToF(I), F)
K0486	/reference/reference-semantics/semantics/float.k	149	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("<", F:Float, I:Int) => floatLt(F, intToF(I))
K0487	/reference/reference-semantics/semantics/float.k	150	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp(">", I:Int, F:Float) => gtF(intToF(I), F)
K0488	/reference/reference-semantics/semantics/float.k	151	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp(">", F:Float, I:Int) => gtF(F, intToF(I))
K0489	/reference/reference-semantics/semantics/float.k	154	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("==", V:Val, noneV) => V ==K noneV
K0490	/reference/reference-semantics/semantics/float.k	155	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("!=", V:Val, noneV) => notBool (V ==K noneV)
K0491	/reference/reference-semantics/semantics/float.k	160	syntax	function,total,opaque/no-evaluators,symbol	FIXED_TRUST_BOUNDARY; INERT_FOR_SUBMITTED_PROGRAM	syntax Float ::= decStrToF(IntSeq) [function, total, symbol(decStrToF), no-evaluators]
K0492	/reference/reference-semantics/semantics/float.k	161	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule decStrToF(iCons(45, CS:IntSeq)) => 0.0 -Float decStrToF(CS) [concrete]
K0493	/reference/reference-semantics/semantics/float.k	162	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule decStrToF(CS:IntSeq) => intToF(intPart(CS)) +Float (intToF(fracPart(CS)) /Float intToF(fracScale(CS))) requires isLen(CS) >Int 0 andBool headIS(CS) =/=Int 45 [concrete]
K0494	/reference/reference-semantics/semantics/float.k	165	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= headIS(IntSeq) [function]
K0495	/reference/reference-semantics/semantics/float.k	166	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule headIS(iCons(C:Int, _:IntSeq)) => C
K0496	/reference/reference-semantics/semantics/float.k	167	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= intPart(IntSeq) [function, total] | intPartAcc(IntSeq, Int) [function, total]
K0497	/reference/reference-semantics/semantics/float.k	168	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule intPart(CS:IntSeq) => intPartAcc(CS, 0)
K0498	/reference/reference-semantics/semantics/float.k	169	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule intPartAcc(.IntSeq, A:Int) => A
K0499	/reference/reference-semantics/semantics/float.k	170	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule intPartAcc(iCons(46, _:IntSeq), A:Int) => A
K0500	/reference/reference-semantics/semantics/float.k	171	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule intPartAcc(iCons(C:Int, R:IntSeq), A:Int) => intPartAcc(R, A *Int 10 +Int (C -Int 48)) requires C =/=Int 46
K0501	/reference/reference-semantics/semantics/float.k	173	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= fracPart(IntSeq) [function, total] | fracAcc(IntSeq, Int) [function, total]
K0502	/reference/reference-semantics/semantics/float.k	174	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule fracPart(.IntSeq) => 0
K0503	/reference/reference-semantics/semantics/float.k	175	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule fracPart(iCons(46, R:IntSeq)) => fracAcc(R, 0)
K0504	/reference/reference-semantics/semantics/float.k	176	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule fracPart(iCons(C:Int, R:IntSeq)) => fracPart(R) requires C =/=Int 46
K0505	/reference/reference-semantics/semantics/float.k	177	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule fracAcc(.IntSeq, A:Int) => A
K0506	/reference/reference-semantics/semantics/float.k	178	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule fracAcc(iCons(C:Int, R:IntSeq), A:Int) => fracAcc(R, A *Int 10 +Int (C -Int 48))
K0507	/reference/reference-semantics/semantics/float.k	179	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= fracScale(IntSeq) [function, total] | fscAcc(IntSeq, Int) [function, total]
K0508	/reference/reference-semantics/semantics/float.k	180	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule fracScale(.IntSeq) => 1
K0509	/reference/reference-semantics/semantics/float.k	181	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule fracScale(iCons(46, R:IntSeq)) => fscAcc(R, 1)
K0510	/reference/reference-semantics/semantics/float.k	182	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule fracScale(iCons(C:Int, R:IntSeq)) => fracScale(R) requires C =/=Int 46
K0511	/reference/reference-semantics/semantics/float.k	183	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule fscAcc(.IntSeq, A:Int) => A
K0512	/reference/reference-semantics/semantics/float.k	184	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule fscAcc(iCons(_:Int, R:IntSeq), A:Int) => fscAcc(R, A *Int 10)
K0513	/reference/reference-semantics/semantics/float.k	185	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBuiltin("float", str(CS:IntSeq), .Vals) => decStrToF(CS)
K0514	/reference/reference-semantics/semantics/float.k	186	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBuiltin("float", I:Int, .Vals) => intToF(I)
K0515	/reference/reference-semantics/semantics/float.k	187	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBuiltin("float", F:Float, .Vals) => F
K0516	/reference/reference-semantics/semantics/float.k	190	syntax	function,total,opaque/no-evaluators,symbol	FIXED_TRUST_BOUNDARY; INERT_FOR_SUBMITTED_PROGRAM	syntax Float ::= divFloatIntV(Float, Int) [function, total, symbol(divFloatIntV), no-evaluators]
K0517	/reference/reference-semantics/semantics/float.k	191	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule divFloatIntV(F:Float, I:Int) => F /Float Int2Float(I, 53, 11) [concrete]
K0518	/reference/reference-semantics/semantics/float.k	192	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("/", F:Float, I:Int) => divFloatIntV(F, I)
K0519	/reference/reference-semantics/semantics/float.k	195	syntax	function,total,opaque/no-evaluators,symbol	FIXED_TRUST_BOUNDARY; INERT_FOR_SUBMITTED_PROGRAM	syntax Float ::= intToF(Int) [function, total, symbol(intToF), no-evaluators]
K0520	/reference/reference-semantics/semantics/float.k	196	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule intToF(I:Int) => Int2Float(I, 53, 11) [concrete]
K0521	/reference/reference-semantics/semantics/float.k	197	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("+", I:Int, F:Float) => addF(intToF(I), F)
K0522	/reference/reference-semantics/semantics/float.k	198	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("+", F:Float, I:Int) => addF(F, intToF(I))
K0523	/reference/reference-semantics/semantics/float.k	199	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("-", I:Int, F:Float) => subF(intToF(I), F)
K0524	/reference/reference-semantics/semantics/float.k	200	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("-", F:Float, I:Int) => subF(F, intToF(I))
K0525	/reference/reference-semantics/semantics/float.k	201	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("*", I:Int, F:Float) => mulF(intToF(I), F)
K0526	/reference/reference-semantics/semantics/float.k	202	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("*", F:Float, I:Int) => mulF(F, intToF(I))
K0527	/reference/reference-semantics/semantics/float.k	203	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("<", I:Int, F:Float) => floatLt(intToF(I), F)
K0528	/reference/reference-semantics/semantics/float.k	204	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("<", F:Float, I:Int) => floatLt(F, intToF(I))
K0529	/reference/reference-semantics/semantics/float.k	205	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp(">", I:Int, F:Float) => gtF(intToF(I), F)
K0530	/reference/reference-semantics/semantics/float.k	206	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp(">", F:Float, I:Int) => gtF(F, intToF(I))
K0531	/reference/reference-semantics/semantics/float.k	209	syntax	function,total,opaque/no-evaluators,symbol	FIXED_TRUST_BOUNDARY; INERT_FOR_SUBMITTED_PROGRAM	syntax Int ::= truncF(Float) [function, total, symbol(truncF), no-evaluators]
K0532	/reference/reference-semantics/semantics/float.k	210	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule truncF(F:Float) => #if F >=Float 0.0 #then Float2Int(floorFloat(F)) #else Float2Int(ceilFloat(F)) #fi [concrete]
K0533	/reference/reference-semantics/semantics/float.k	211	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBuiltin("int", F:Float, .Vals) => truncF(F)
K0534	/reference/reference-semantics/semantics/float.k	213	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBuiltin("float", I:Int, .Vals) => intToF(I)
K0535	/reference/reference-semantics/semantics/float.k	214	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBuiltin("float", F:Float, .Vals) => F
K0536	/reference/reference-semantics/semantics/float.k	217	syntax	function,total,opaque/no-evaluators,symbol	FIXED_TRUST_BOUNDARY; INERT_FOR_SUBMITTED_PROGRAM	syntax Int ::= roundF(Float) [function, total, symbol(roundF), no-evaluators]
K0537	/reference/reference-semantics/semantics/float.k	218	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule roundF(F:Float) => #if (F -Float floorFloat(F)) ==Float 0.5 #then (#if Float2Int(floorFloat(F)) %Int 2 ==Int 0 #then Float2Int(floorFloat(F)) #else Float2Int(ceilFloat(F)) #fi) #else Float2Int(floorFloat(F +Float 0.5)) #fi [concrete]
K0538	/reference/reference-semantics/semantics/float.k	223	syntax	function,total,opaque/no-evaluators,symbol	FIXED_TRUST_BOUNDARY; INERT_FOR_SUBMITTED_PROGRAM	syntax Float ::= roundFN(Float, Int) [function, total, symbol(roundFN), no-evaluators]
K0539	/reference/reference-semantics/semantics/float.k	224	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule roundFN(F:Float, N:Int) => Int2Float(roundF(F *Float Int2Float(10 ^Int N, 53, 11)), 53, 11) /Float Int2Float(10 ^Int N, 53, 11) [concrete]
K0540	/reference/reference-semantics/semantics/float.k	227	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBuiltin("round", F:Float, .Vals) => roundF(F)
K0541	/reference/reference-semantics/semantics/float.k	228	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBuiltin("round", F:Float, N:Int, .Vals) => roundFN(F, N)
K0542	/reference/reference-semantics/semantics/float.k	230	syntax	function,total,opaque/no-evaluators,symbol	FIXED_TRUST_BOUNDARY; INERT_FOR_SUBMITTED_PROGRAM	syntax Float ::= sqrtF(Float) [function, total, symbol(sqrtF), no-evaluators]
K0543	/reference/reference-semantics/semantics/float.k	231	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule sqrtF(F:Float) => sqrtFloat(F) [concrete]
K0544	/reference/reference-semantics/semantics/float.k	232	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax KItem ::= "#mathSqrt"
K0545	/reference/reference-semantics/semantics/float.k	233	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Call(Attribute(Name("math"), "sqrt"), (E:Expr, .Exprs)) => E ~> #mathSqrt ... </k> [priority(40)]
K0546	/reference/reference-semantics/semantics/float.k	234	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> F:Float ~> #mathSqrt => sqrtF(F) ... </k>
K0547	/reference/reference-semantics/semantics/float.k	235	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> I:Int ~> #mathSqrt => sqrtF(intToF(I)) ... </k>
K0548	/reference/reference-semantics/semantics/float.k	243	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax KItem ::= #maxAccF(Iterable, Float) | #maxContF(Float)
K0549	/reference/reference-semantics/semantics/float.k	244	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAccF(R, {V}:>Float) ... </k> requires isFloat(V)
K0550	/reference/reference-semantics/semantics/float.k	245	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #maxAccF(IT:Iterable, M:Float) => #iterNext(IT) ~> #maxContF(M) ... </k>
K0551	/reference/reference-semantics/semantics/float.k	246	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterDone ~> #maxContF(M:Float) => M ... </k>
K0552	/reference/reference-semantics/semantics/float.k	247	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxContF(M:Float) => #maxAccF(R, maxFloat(M, {V}:>Float)) ... </k> requires isFloat(V)
K0553	/reference/reference-semantics/semantics/float.k	250	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax KItem ::= #minAccF(Iterable, Float) | #minContF(Float)
K0554	/reference/reference-semantics/semantics/float.k	251	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAccF(R, {V}:>Float) ... </k> requires isFloat(V)
K0555	/reference/reference-semantics/semantics/float.k	252	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #minAccF(IT:Iterable, M:Float) => #iterNext(IT) ~> #minContF(M) ... </k>
K0556	/reference/reference-semantics/semantics/float.k	253	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterDone ~> #minContF(M:Float) => M ... </k>
K0557	/reference/reference-semantics/semantics/float.k	254	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterYield(V:Val, R:Iterable) ~> #minContF(M:Float) => #minAccF(R, minFloat(M, {V}:>Float)) ... </k> requires isFloat(V)
K0558	/reference/reference-semantics/semantics/float.k	261	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax KItem ::= #sumAccF(Iterable, Float) | #sumContF(Float)
K0559	/reference/reference-semantics/semantics/float.k	262	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAccF(R, addF(intToF(ACC), {V}:>Float)) ... </k> requires isFloat(V) andBool notBool (isInt(V) orBool isBool(V))
K0560	/reference/reference-semantics/semantics/float.k	265	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #sumAccF(IT:Iterable, ACC:Float) => #iterNext(IT) ~> #sumContF(ACC) ... </k>
K0561	/reference/reference-semantics/semantics/float.k	266	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterDone ~> #sumContF(ACC:Float) => ACC ... </k>
K0562	/reference/reference-semantics/semantics/float.k	267	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumContF(ACC:Float) => #sumAccF(R, addF(ACC, {V}:>Float)) ... </k> requires isFloat(V)
K0563	/reference/reference-semantics/semantics/float.k	270	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumContF(ACC:Float) => #sumAccF(R, addF(ACC, intToF(intOf(V)))) ... </k> requires isInt(V) orBool isBool(V) endmodule
K0564	/reference/reference-semantics/semantics/functions.k	8	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax KItem ::= frame(continuation: K, callerEnv: Int, savedLoc: Int) | #bindP(ParamNames, Vals) | "#pop" | "#endcall"
