id	location	module	kind	attributes	declaration
346	reference-semantics/semantics/controls.k:54	MPY-CONTROLS	rule		rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k> // ==== IfExp: ternary T if C else E ========================================
347	reference-semantics/semantics/controls.k:57	MPY-CONTROLS	rule		rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k> requires truthy(V)
348	reference-semantics/semantics/controls.k:59	MPY-CONTROLS	rule		rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k> requires notBool truthy(V) // ==== For: one loop, in-cell continuation, over #iterNext ================= // (the iterable is evaluated once, by strictness; the protocol stays rewrites — // circularities anchor on #loop and narrowing substitutes the structure)
349	reference-semantics/semantics/controls.k:65	MPY-CONTROLS	syntax		syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts) | #while(Expr, Stmts) | #whileCond(Expr, Stmts) | #loopLbl(K) | "#cont" | "#brk"
350	reference-semantics/semantics/controls.k:69	MPY-CONTROLS	rule		rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>
351	reference-semantics/semantics/controls.k:71	MPY-CONTROLS	rule		rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>
352	reference-semantics/semantics/controls.k:72	MPY-CONTROLS	rule		rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>
353	reference-semantics/semantics/controls.k:73	MPY-CONTROLS	rule		rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts) => #bindTgt(T, V) ~> B ~> #loopLbl(#loop(REST, T, B)) ... </k> // ==== While ==============================================================
354	reference-semantics/semantics/controls.k:77	MPY-CONTROLS	rule		rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>
355	reference-semantics/semantics/controls.k:78	MPY-CONTROLS	rule		rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>
356	reference-semantics/semantics/controls.k:79	MPY-CONTROLS	rule		rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k> requires truthy(V)
357	reference-semantics/semantics/controls.k:81	MPY-CONTROLS	rule		rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k> requires notBool truthy(V) // ==== loop control (break / continue) =====================================
358	reference-semantics/semantics/controls.k:85	MPY-CONTROLS	rule		rule <k> #loopLbl(NEXT:K) => NEXT ... </k>
359	reference-semantics/semantics/controls.k:86	MPY-CONTROLS	rule		rule <k> Continue => #cont ... </k>
360	reference-semantics/semantics/controls.k:87	MPY-CONTROLS	rule		rule <k> Break => #brk ... </k>
361	reference-semantics/semantics/controls.k:88	MPY-CONTROLS	rule		rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>
362	reference-semantics/semantics/controls.k:89	MPY-CONTROLS	rule	owise	rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
363	reference-semantics/semantics/controls.k:90	MPY-CONTROLS	rule		rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>
364	reference-semantics/semantics/controls.k:91	MPY-CONTROLS	rule	owise	rule <k> #brk ~> (_:KItem => .K) ... </k> [owise] // ==== heap-object deref at the truthiness/iteration consumers ============== // (priority(40) preempts the generic Val rules so truthy/#loop never see a ref)
365	reference-semantics/semantics/controls.k:95	MPY-CONTROLS	rule	priority(40)	rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
366	reference-semantics/semantics/controls.k:98	MPY-CONTROLS	rule	priority(40)	rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
367	reference-semantics/semantics/controls.k:101	MPY-CONTROLS	rule	priority(40)	rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)] // For derefs its iterable ONCE at loop start (iteration is over the snapshot; // mutating the iterated list inside its own loop is outside the subset)
368	reference-semantics/semantics/controls.k:106	MPY-CONTROLS	rule	priority(40)	rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
369	reference-semantics/semantics/controls.k:109	MPY-CONTROLS	endmodule		endmodule
370	reference-semantics/semantics/core.k:3	MPY-CORE	module		module MPY-CORE
371	reference-semantics/semantics/core.k:4	MPY-CORE	imports		imports MPY-SYNTAX
372	reference-semantics/semantics/core.k:5	MPY-CORE	imports		imports INT
373	reference-semantics/semantics/core.k:6	MPY-CORE	imports		imports BOOL
374	reference-semantics/semantics/core.k:7	MPY-CORE	imports		imports STRING
375	reference-semantics/semantics/core.k:8	MPY-CORE	imports		imports MAP
376	reference-semantics/semantics/core.k:9	MPY-CORE	imports		imports LIST
377	reference-semantics/semantics/core.k:10	MPY-CORE	imports		imports K-EQUAL // ==== values, the algebraic lists, and the scope heap =====================
378	reference-semantics/semantics/core.k:13	MPY-CORE	syntax		syntax IntSeq ::= ".IntSeq" | iCons(Int, IntSeq)
379	reference-semantics/semantics/core.k:14	MPY-CORE	syntax		syntax ValSeq ::= ".ValSeq" | vCons(Val, ValSeq)
380	reference-semantics/semantics/core.k:15	MPY-CORE	syntax		syntax Str ::= str(IntSeq) // the iterable values, grouped under one sort (typing only — dispatch is <k>-cell)
381	reference-semantics/semantics/core.k:18	MPY-CORE	syntax		syntax Iterable ::= list(ValSeq) | tuple(ValSeq) | Str | rangeObj(Int, Int, Int) | zipObj(ValSeq, ValSeq) | zipObjS(IntSeq, IntSeq)
382	reference-semantics/semantics/core.k:25	MPY-CORE	syntax		syntax Val ::= Int | Bool | "noneV" | Iterable | ref(Int) // a heap object: <heap> holds its list(VS) | cellRef(Int) // a closure cell: <heap> holds cellV(V) | closureVal(ParamNames, Stmts, Int) | typeV(String) // a type object (int/str), resolved from the builtins frame | builtinV(String) // a builtin function, resolved like any name (LEGB fallthrough) | boundMethodV(Val, String) // a cooled Attribute: obj.method
383	reference-semantics/semantics/core.k:36	MPY-CORE	syntax		syntax Parent ::= "root" | parent(Int)
384	reference-semantics/semantics/core.k:37	MPY-CORE	syntax		syntax Scope ::= scope(Map, Parent)
385	reference-semantics/semantics/core.k:38	MPY-CORE	syntax		syntax KResult ::= Val
386	reference-semantics/semantics/core.k:39	MPY-CORE	syntax		syntax Expr ::= Val // cooling puts results back into expression holes
387	reference-semantics/semantics/core.k:40	MPY-CORE	syntax		syntax Vals ::= List{Val, ","}
388	reference-semantics/semantics/core.k:41	MPY-CORE	syntax		syntax Exc ::= "NoExc" | "AssertionError"
389	reference-semantics/semantics/core.k:42	MPY-CORE	syntax		syntax RetState ::= "noRet" | retV(Val) // ==== configuration ======================================================= // The builtins namespace is a real scope at reserved location -1 (the bottom of every // chain; scopeLoc only allocates >=1, so -1 never collides). The module scope (loc 0) // has it as parent, so an unbound name resolves there last — exactly LEGB. `int`/`str` // resolve to their type objects; any local/global binding shadows them via normal lookup.
390	reference-semantics/semantics/core.k:49	MPY-CORE	configuration		configuration <k> #loadAll($PGM:Module) </k> <env> 0 </env> <scopes> 0 |-> scope(.Map, parent(-1)) -1 |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap> .Map </heap> <heapLoc> 0 </heapLoc> <stack> .List </stack> <ret> noRet </ret> <exc> NoExc </exc> <exit-code exit=""> 0 </exit-code> // ==== heap allocation (constructed lists become objects) ================== // Cons-form emission with a freshness guard (the heap-list-probe discipline: // an update-form H[N <- _] never re-normalizes symbolically). heapLoc is // monotonic — it does NOT wind back at #pop: returned lists escape by ref. // A bare list(VS) Val stays legal (read-only inputs in claims flow unboxed); // only CONSTRUCTORS in program syntax allocate.
391	reference-semantics/semantics/core.k:68	MPY-CORE	syntax	function, total	syntax Bool ::= isRefV(Val) [function, total]
392	reference-semantics/semantics/core.k:69	MPY-CORE	rule		rule isRefV(ref(_:Int)) => true
393	reference-semantics/semantics/core.k:70	MPY-CORE	rule	owise	rule isRefV(_:Val) => false [owise] // closure cells (Python-faithful capture): the heap holds cellV(V); a // cellRef surfacing as the k-redex reads through (lookup is the only use — // cellRefs never escape to user-visible values)
394	reference-semantics/semantics/core.k:75	MPY-CORE	syntax		syntax HeapVal ::= cellV(Val)
395	reference-semantics/semantics/core.k:76	MPY-CORE	syntax	function, total	syntax Bool ::= isCellRef(Val) [function, total]
396	reference-semantics/semantics/core.k:77	MPY-CORE	rule		rule isCellRef(cellRef(_:Int)) => true
397	reference-semantics/semantics/core.k:78	MPY-CORE	rule	owise	rule isCellRef(_:Val) => false [owise] // k-top deref for cell-bound reads surfacing INSIDE the annotated frame // (AugAssign's in-place read and friends). The "$cells" guard keeps this // DECIDABLY inapplicable in plain frames — an unguarded rule lets the // prover narrow abstract k-top values into cellRef junk (probed on // 26-remove-duplicates). Cross-frame reads (a comprehension closure // reading the enclosing function's cellvar) deref inside #look instead.
398	reference-semantics/semantics/core.k:85	MPY-CORE	rule	priority(40)	rule <k> cellRef(H:Int) => V ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap> requires "$cells" in_keys(M) [priority(40)] // write through a cell (Assign / #bindP / #bindTgt dispatch here on // cell-bound names) // a keyword argument cools to a TAGGED value (consumed by kw-aware builtins)
399	reference-semantics/semantics/core.k:95	MPY-CORE	syntax		syntax Val ::= kwV(String, Val)
400	reference-semantics/semantics/core.k:96	MPY-CORE	syntax		syntax KItem ::= #kwTag(String)
401	reference-semantics/semantics/core.k:97	MPY-CORE	rule		rule <k> KwArg(N:String, E:Expr) => E ~> #kwTag(N) ... </k>
402	reference-semantics/semantics/core.k:98	MPY-CORE	rule		rule <k> V:Val ~> #kwTag(N:String) => kwV(N, V) ... </k> requires notBool isKwV(V)
403	reference-semantics/semantics/core.k:100	MPY-CORE	syntax	function, total	syntax Bool ::= isKwV(Val) [function, total]
404	reference-semantics/semantics/core.k:101	MPY-CORE	rule		rule isKwV(kwV(_:String, _:Val)) => true
405	reference-semantics/semantics/core.k:102	MPY-CORE	rule	owise	rule isKwV(_:Val) => false [owise] // the frame marker carries the CONCRETE cellvar list, so cell-write dispatch // decides by pnMember even over an abstract frame rest (no prover branching)
406	reference-semantics/semantics/core.k:106	MPY-CORE	syntax		syntax Val ::= cellsMark(ParamNames)
407	reference-semantics/semantics/core.k:107	MPY-CORE	syntax	function	syntax ParamNames ::= cellsOf(Val) [function]
408	reference-semantics/semantics/core.k:108	MPY-CORE	rule		rule cellsOf(cellsMark(CVS:ParamNames)) => CVS
409	reference-semantics/semantics/core.k:109	MPY-CORE	syntax	function, total	syntax Bool ::= pnMember(String, ParamNames) [function, total]
410	reference-semantics/semantics/core.k:110	MPY-CORE	rule		rule pnMember(_:String, .ParamNames) => false
411	reference-semantics/semantics/core.k:111	MPY-CORE	rule		rule pnMember(X:String, (P:String, R:ParamNames)) => X ==String P orBool pnMember(X, R)
412	reference-semantics/semantics/core.k:113	MPY-CORE	syntax		syntax KItem ::= #cellW(Val, Val)
413	reference-semantics/semantics/core.k:114	MPY-CORE	rule		rule <k> #cellW(cellRef(H:Int), V:Val) => .K ... </k> <heap> ... H |-> cellV(_:Val => V) ... </heap>
414	reference-semantics/semantics/core.k:117	MPY-CORE	syntax		syntax KItem ::= #alloc(Val)
415	reference-semantics/semantics/core.k:118	MPY-CORE	rule		rule <k> #alloc(V:Val) => ref(N) ... </k> <heap> H:Map => (N |-> V) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc> requires notBool N in_keys(H) // ==== module load + statement sequencing ==================================
416	reference-semantics/semantics/core.k:124	MPY-CORE	syntax		syntax KItem ::= #loadAll(Module)
417	reference-semantics/semantics/core.k:125	MPY-CORE	rule		rule <k> #loadAll(Module(SS:Stmts)) => SS ... </k>
418	reference-semantics/semantics/core.k:126	MPY-CORE	rule		rule <k> (S:Stmt SS:Stmts):Stmts => S ~> SS ... </k>
419	reference-semantics/semantics/core.k:127	MPY-CORE	rule		rule <k> .Stmts => .K ... </k> // ==== Name lookup (walk the scope chain; builtins live in the -1 scope) ====
420	reference-semantics/semantics/core.k:130	MPY-CORE	syntax		syntax KItem ::= #look(String, Int)
421	reference-semantics/semantics/core.k:131	MPY-CORE	rule		rule <k> Name(X:String) => #look(X, L) ... </k> <env> L:Int </env>
422	reference-semantics/semantics/core.k:132	MPY-CORE	rule		rule <k> #look(X:String, L:Int) => {M[X]}:>Val ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes> requires X in_keys(M) // a SYNTACTICALLY cell-bound name reads through the heap cell AT THE // LOOKUP (higher priority beats the plain return above on concrete cell // bindings; abstract claim values take the plain rule unchanged) — this // covers cross-frame cell reads (a comprehension closure reading the // enclosing function's cellvar) without a narrowing-prone k-top redex // guarded on the FOUND frame's DECLARED cellvars (pnMember over the // cellsMark): decidable for every concrete frame pin — plain frames and // non-cell names prune outright, so an abstract looked-up value never // drags a narrowing cellV heap match along (probed on 5-intersperse and // Q4's abstract `numbers` in the annotated frame)
423	reference-semantics/semantics/core.k:145	MPY-CORE	rule	priority(40)	rule <k> #look(X:String, L:Int) => V ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap> requires X in_keys(M) andBool "$cells" in_keys(M) andBool pnMember(X, cellsOf({M["$cells"]}:>Val)) andBool {M[X]}:>Val ==K cellRef(H) [priority(40)]
424	reference-semantics/semantics/core.k:152	MPY-CORE	rule		rule <k> #look(X:String, L:Int) => #look(X, P) ... </k> <scopes> ... L |-> scope(M:Map, parent(P:Int)) ... </scopes> requires notBool (X in_keys(M)) // the ONE predefined builtins scope (the -1 frame; claims write `-1 |-> builtinsScope`)
425	reference-semantics/semantics/core.k:157	MPY-CORE	syntax	function, total	syntax Scope ::= "builtinsScope" [function, total]
426	reference-semantics/semantics/core.k:158	MPY-CORE	rule		rule builtinsScope => scope(.Map [ "len" <- builtinV("len") ] [ "set" <- builtinV("set") ] [ "sum" <- builtinV("sum") ] [ "abs" <- builtinV("abs") ] [ "min" <- builtinV("min") ] [ "max" <- builtinV("max") ] [ "ord" <- builtinV("ord") ] [ "chr" <- builtinV("chr") ] [ "range" <- builtinV("range") ] [ "all" <- builtinV("all") ] [ "any" <- builtinV("any") ] [ "zip" <- builtinV("zip") ] [ "isinstance" <- builtinV("isinstance") ] [ "sorted" <- builtinV("sorted") ] [ "list" <- builtinV("list") ] [ "round" <- builtinV("round") ] [ "bin" <- builtinV("bin") ] [ "enumerate" <- builtinV("enumerate") ] [ "map" <- builtinV("map") ] [ "eval" <- builtinV("eval") ] [ "int" <- typeV("int") ] [ "str" <- typeV("str") ] [ "float" <- typeV("float") ], root) // ==== argument/element evaluation: ONE left-to-right loop, tagged by destination == // (list/tuple literals and calls all use it; modules extend ApplyK with their tags)
427	reference-semantics/semantics/core.k:185	MPY-CORE	syntax		syntax ApplyK ::= toCall(Val)
428	reference-semantics/semantics/core.k:186	MPY-CORE	syntax		syntax KItem ::= #evalArgs(Exprs, Vals, ApplyK) | #evalArgCont(Exprs, Vals, ApplyK) | #applyK(ApplyK, Vals)
429	reference-semantics/semantics/core.k:189	MPY-CORE	rule		rule <k> #evalArgs((A:Expr, REST:Exprs), ACC:Vals, K:ApplyK) => A ~> #evalArgCont(REST, ACC, K) ... </k>
430	reference-semantics/semantics/core.k:190	MPY-CORE	rule		rule <k> V:Val ~> #evalArgCont(REST:Exprs, ACC:Vals, K:ApplyK) => #evalArgs(REST, appendVal(ACC, V), K) ... </k>
431	reference-semantics/semantics/core.k:191	MPY-CORE	rule		rule <k> #evalArgs(.Exprs, ACC:Vals, K:ApplyK) => #applyK(K, ACC) ... </k> // ==== Int / Bool / None literals ==========================================
432	reference-semantics/semantics/core.k:194	MPY-CORE	rule		rule <k> Int(I:Int) => I ... </k>
433	reference-semantics/semantics/core.k:195	MPY-CORE	rule		rule <k> Bool(B:Bool) => B ... </k>
434	reference-semantics/semantics/core.k:196	MPY-CORE	rule		rule <k> NoneVal => noneV ... </k> // ==== truthy (If, Assert, BoolOp, IfExp, not, While) ======================
435	reference-semantics/semantics/core.k:199	MPY-CORE	syntax	function	syntax Bool ::= truthy(Val) [function]
436	reference-semantics/semantics/core.k:200	MPY-CORE	rule		rule truthy(B:Bool) => B
437	reference-semantics/semantics/core.k:201	MPY-CORE	rule		rule truthy(noneV) => false
438	reference-semantics/semantics/core.k:202	MPY-CORE	rule		rule truthy(I:Int) => I =/=Int 0
439	reference-semantics/semantics/core.k:203	MPY-CORE	rule		rule truthy(str(S:IntSeq)) => notBool (S ==K .IntSeq)
440	reference-semantics/semantics/core.k:204	MPY-CORE	rule		rule truthy(list(V:ValSeq)) => notBool (V ==K .ValSeq)
441	reference-semantics/semantics/core.k:205	MPY-CORE	rule		rule truthy(tuple(V:ValSeq)) => notBool (V ==K .ValSeq) // ==== extensible operator dispatch (cases added by the construct modules) ==
442	reference-semantics/semantics/core.k:208	MPY-CORE	syntax	function	syntax Val ::= applyUn(String, Val) [function]
443	reference-semantics/semantics/core.k:209	MPY-CORE	syntax	function	syntax Val ::= applyBin(String, Val, Val) [function]
444	reference-semantics/semantics/core.k:210	MPY-CORE	syntax	function	syntax Bool ::= applyCmp(String, Val, Val) [function] // ==== shared list helpers =================================================
445	reference-semantics/semantics/core.k:213	MPY-CORE	syntax	function, total	syntax Vals ::= appendVal(Vals, Val) [function, total]
446	reference-semantics/semantics/core.k:214	MPY-CORE	rule		rule appendVal(.Vals, V:Val) => V , .Vals
447	reference-semantics/semantics/core.k:215	MPY-CORE	rule		rule appendVal((V0:Val, VS:Vals), V:Val) => V0 , appendVal(VS, V)
448	reference-semantics/semantics/core.k:217	MPY-CORE	syntax	function, total	syntax ValSeq ::= vals2valSeq(Vals) [function, total]
449	reference-semantics/semantics/core.k:218	MPY-CORE	rule		rule vals2valSeq(.Vals) => .ValSeq
450	reference-semantics/semantics/core.k:219	MPY-CORE	rule		rule vals2valSeq((V:Val, VS:Vals)) => vCons(V, vals2valSeq(VS)) // ==== shared sequence length (len / summaries across many modules) ======== // (positional access valSeqAt/intSeqAt + normIdx live in subscript.k)
451	reference-semantics/semantics/core.k:223	MPY-CORE	syntax	function, total	syntax Int ::= vsLen(ValSeq) [function, total]
452	reference-semantics/semantics/core.k:224	MPY-CORE	rule		rule vsLen(.ValSeq) => 0
453	reference-semantics/semantics/core.k:225	MPY-CORE	rule		rule vsLen(vCons(_:Val, S:ValSeq)) => 1 +Int vsLen(S)
454	reference-semantics/semantics/core.k:227	MPY-CORE	syntax	function, total	syntax Int ::= isLen(IntSeq) [function, total]
455	reference-semantics/semantics/core.k:228	MPY-CORE	rule		rule isLen(.IntSeq) => 0
456	reference-semantics/semantics/core.k:229	MPY-CORE	rule		rule isLen(iCons(_:Int, S:IntSeq)) => 1 +Int isLen(S) // in-bounds positional write (list subscript-assign); OOB leaves the seq unchanged // (valid programs write in-bounds — mirrors valSeqAt's total-but-underspecified stance)
457	reference-semantics/semantics/core.k:233	MPY-CORE	syntax	function, total	syntax ValSeq ::= setVSAt(ValSeq, Int, Val) [function, total]
458	reference-semantics/semantics/core.k:234	MPY-CORE	rule		rule setVSAt(.ValSeq, _:Int, _:Val) => .ValSeq
459	reference-semantics/semantics/core.k:235	MPY-CORE	rule		rule setVSAt(vCons(_:Val, S:ValSeq), 0, V:Val) => vCons(V, S)
460	reference-semantics/semantics/core.k:236	MPY-CORE	rule		rule setVSAt(vCons(W:Val, S:ValSeq), I:Int, V:Val) => vCons(W, setVSAt(S, I -Int 1, V)) requires I >Int 0
461	reference-semantics/semantics/core.k:238	MPY-CORE	rule		rule setVSAt(VS:ValSeq, I:Int, _:Val) => VS requires I <Int 0
462	reference-semantics/semantics/core.k:240	MPY-CORE	endmodule		endmodule
463	reference-semantics/semantics/dict.k:13	MPY-DICT	module		module MPY-DICT
464	reference-semantics/semantics/dict.k:14	MPY-DICT	imports		imports MPY-CORE
465	reference-semantics/semantics/dict.k:15	MPY-DICT	imports		imports MPY-ITER
466	reference-semantics/semantics/dict.k:16	MPY-DICT	imports		imports MPY-METHODS
467	reference-semantics/semantics/dict.k:17	MPY-DICT	imports		imports MPY-LIST // dict as PARALLEL ordered key/value ValSeqs (same length; keys distinct).
468	reference-semantics/semantics/dict.k:20	MPY-DICT	syntax		syntax Val ::= dictV(ValSeq, ValSeq) // ==== DictExpr: {k: v, ...} literal. Eval each key then value, left to right, insert-with-dedup.
469	reference-semantics/semantics/dict.k:23	MPY-DICT	syntax		syntax KItem ::= #dictAcc(Entries, ValSeq, ValSeq) | #dictKey(Expr, Entries, ValSeq, ValSeq) | #dictVal(Val, Entries, ValSeq, ValSeq)
470	reference-semantics/semantics/dict.k:26	MPY-DICT	rule		rule <k> DictExpr(ES:Entries) => #dictAcc(ES, .ValSeq, .ValSeq) ... </k>
471	reference-semantics/semantics/dict.k:27	MPY-DICT	rule		rule <k> #dictAcc(.Entries, KS:ValSeq, VS:ValSeq) => dictV(KS, VS) ... </k>
472	reference-semantics/semantics/dict.k:28	MPY-DICT	rule		rule <k> #dictAcc((Entry(K:Expr, V:Expr), REST:Entries), KS:ValSeq, VS:ValSeq) => K ~> #dictKey(V, REST, KS, VS) ... </k>
473	reference-semantics/semantics/dict.k:30	MPY-DICT	rule		rule <k> KV:Val ~> #dictKey(V:Expr, REST:Entries, KS:ValSeq, VS:ValSeq) => V ~> #dictVal(KV, REST, KS, VS) ... </k>
474	reference-semantics/semantics/dict.k:32	MPY-DICT	rule		rule <k> VV:Val ~> #dictVal(KV:Val, REST:Entries, KS:ValSeq, VS:ValSeq) => #dictAcc(REST, dPutK(KS, KV), dPutV(KS, VS, KV, VV)) ... </k> // insert-with-dedup helpers (concrete Val key equality via ==K). [total] so buildFold over a dict is // total (its #Ceil is #Top) — needed when a symbolic proof carries a built dict as a config value.
475	reference-semantics/semantics/dict.k:37	MPY-DICT	syntax	function, total	syntax Bool ::= dHasKey(ValSeq, Val) [function, total]
476	reference-semantics/semantics/dict.k:38	MPY-DICT	rule		rule dHasKey(.ValSeq, _:Val) => false
477	reference-semantics/semantics/dict.k:39	MPY-DICT	rule		rule dHasKey(vCons(A:Val, _:ValSeq), K:Val) => true requires A ==K K
478	reference-semantics/semantics/dict.k:40	MPY-DICT	rule		rule dHasKey(vCons(A:Val, R:ValSeq), K:Val) => dHasKey(R, K) requires notBool (A ==K K) // dPutK: KS unchanged if K already present, else append K (keep-first-position).
479	reference-semantics/semantics/dict.k:43	MPY-DICT	syntax	function, total	syntax ValSeq ::= dPutK(ValSeq, Val) [function, total]
480	reference-semantics/semantics/dict.k:44	MPY-DICT	rule		rule dPutK(KS:ValSeq, K:Val) => KS requires dHasKey(KS, K)
481	reference-semantics/semantics/dict.k:45	MPY-DICT	rule		rule dPutK(KS:ValSeq, K:Val) => valSeqConcat(KS, vCons(K, .ValSeq)) requires notBool dHasKey(KS, K) // dPutV: parallel to KS — set the value at K's position if present, else append V at the end. The // [owise] catch-all covers the degenerate mismatched-length case (never reached for a well-formed dict).
482	reference-semantics/semantics/dict.k:49	MPY-DICT	syntax	function, total	syntax ValSeq ::= dPutV(ValSeq, ValSeq, Val, Val) [function, total]
483	reference-semantics/semantics/dict.k:50	MPY-DICT	rule		rule dPutV(vCons(A:Val, _:ValSeq), vCons(_:Val, VR:ValSeq), K:Val, V:Val) => vCons(V, VR) requires A ==K K
484	reference-semantics/semantics/dict.k:52	MPY-DICT	rule		rule dPutV(vCons(A:Val, KR:ValSeq), vCons(B:Val, VR:ValSeq), K:Val, V:Val) => vCons(B, dPutV(KR, VR, K, V)) requires notBool (A ==K K)
485	reference-semantics/semantics/dict.k:54	MPY-DICT	rule	owise	rule dPutV(_KS:ValSeq, VS:ValSeq, _K:Val, V:Val) => valSeqConcat(VS, vCons(V, .ValSeq)) [owise] // ==== dict methods ======================================================== // d.keys() -> a FRESH list object of the ordered keys (k-cell: it allocates).
486	reference-semantics/semantics/dict.k:58	MPY-DICT	rule	priority(40)	rule <k> #applyK(toCall(boundMethodV(dictV(KS:ValSeq, _:ValSeq), "keys")), .Vals) => #alloc(list(KS)) ... </k> [priority(40)] // ==== dict subscript READ: d[k] (assoc lookup; KeyError is out of subset) ==
487	reference-semantics/semantics/dict.k:63	MPY-DICT	rule		rule applyIndexD(dictV(KS:ValSeq, VS:ValSeq), K:Val) => dGet(KS, VS, K)
488	reference-semantics/semantics/dict.k:64	MPY-DICT	syntax	function	syntax Val ::= applyIndexD(Val, Val) [function]
489	reference-semantics/semantics/dict.k:65	MPY-DICT	rule	priority(45)	rule <k> Subscript(dictV(KS:ValSeq, VS:ValSeq), K:Val) => applyIndexD(dictV(KS, VS), K) ... </k> [priority(45)] // ==== dict subscript-assign: d[k] = v (insert/update in place) ============= // Only for a LOCAL dict variable X (the current scope holds it). Reuses dPutK/dPutV.
490	reference-semantics/semantics/dict.k:70	MPY-DICT	syntax	function	syntax Val ::= dictSet(Val, Val, Val) [function]
491	reference-semantics/semantics/dict.k:71	MPY-DICT	rule		rule dictSet(dictV(KS:ValSeq, VS:ValSeq), K:Val, V:Val) => dictV(dPutK(KS, K), dPutV(KS, VS, K, V)) // RHS evaluates first (Assign strictness), then the key. Dispatch on the scope // value: a bare dict updates in the scope (dicts stay values); a ref (a heap // list — or a heap dict later) writes the heap in place.
492	reference-semantics/semantics/dict.k:76	MPY-DICT	syntax		syntax KItem ::= #dsetK(String, Val)
493	reference-semantics/semantics/dict.k:77	MPY-DICT	rule		rule <k> Assign(Subscript(Name(X:String), K:Expr), VV:Val) => K ~> #dsetK(X, VV) ... </k>
494	reference-semantics/semantics/dict.k:78	MPY-DICT	rule		rule <k> KV:Val ~> #dsetK(X:String, VV:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- dictSet({M[X]}:>Val, KV, VV) ], _) ... </scopes> requires X in_keys(M) andBool notBool isRefV({M[X]}:>Val)
495	reference-semantics/semantics/dict.k:82	MPY-DICT	rule		rule <k> KV:Val ~> #dsetK(X:String, VV:Val) => #dsetV({M[X]}:>Val, KV, VV) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires X in_keys(M) andBool isRefV({M[X]}:>Val)
496	reference-semantics/semantics/dict.k:86	MPY-DICT	syntax		syntax KItem ::= #dsetV(Val, Val, Val)
497	reference-semantics/semantics/dict.k:87	MPY-DICT	rule		rule <k> #dsetV(ref(H:Int), I:Int, VV:Val) => .K ... </k> <heap> ... H |-> list(VS:ValSeq => setVSAt(VS, normIdxD(I, vsLen(VS)), VV)) ... </heap> // negative-index normalization local to the write (subscript.k's is not imported here)
498	reference-semantics/semantics/dict.k:90	MPY-DICT	syntax	function, total	syntax Int ::= normIdxD(Int, Int) [function, total]
499	reference-semantics/semantics/dict.k:91	MPY-DICT	rule		rule normIdxD(I:Int, LEN:Int) => I +Int LEN requires I <Int 0
500	reference-semantics/semantics/dict.k:92	MPY-DICT	rule		rule normIdxD(I:Int, _:Int) => I requires I >=Int 0 // ==== dict == (order-insensitive: same size + same key->value pairs) =======
501	reference-semantics/semantics/dict.k:95	MPY-DICT	rule		rule applyCmp("==", dictV(KS1:ValSeq, VS1:ValSeq), dictV(KS2:ValSeq, VS2:ValSeq)) => (vsLen(KS1) ==Int vsLen(KS2)) andBool dSubset(KS1, VS1, KS2, VS2)
502	reference-semantics/semantics/dict.k:97	MPY-DICT	syntax	function	syntax Bool ::= dSubset(ValSeq, ValSeq, ValSeq, ValSeq) [function]
