WORKDIR: /tmp/audit-work/112-reverse-delete
COMMAND: /audit-output/evidence/k_rule_inventory.py
# Exhaustive K declaration and rule inventory

Files: 26
Inventory rows: 942
Kinds: {'claim': 2, 'configuration': 1, 'context': 5, 'rule': 704, 'syntax': 230}
Decision classes: {'ACCEPT': 142, 'TARGET': 2, 'UNREACHED': 776, 'UNUSED OPAQUE': 22}
Attributes: {'concrete': 35, 'function': 149, 'macro': 3, 'macro-rec': 1, 'no-evaluators': 22, 'owise': 26, 'priority(39)': 1, 'priority(40)': 42, 'priority(45)': 3, 'seqstrict(2, 3)': 1, 'simplification': 4, 'strict(1)': 2, 'strict(2)': 2, 'strict(3)': 1, 'symbol(absF)': 1, 'symbol(addF)': 1, 'symbol(ceilF)': 1, 'symbol(decStrToF)': 1, 'symbol(divF)': 1, 'symbol(divFloatIntV)': 1, 'symbol(divII)': 1, 'symbol(eqF)': 1, 'symbol(floatLt)': 1, 'symbol(floatMod)': 1, 'symbol(floorFI)': 1, 'symbol(gtF)': 1, 'symbol(intFloatDiv)': 1, 'symbol(intToF)': 1, 'symbol(md5hexCodes)': 1, 'symbol(mulF)': 1, 'symbol(powF)': 1, 'symbol(roundF)': 1, 'symbol(roundFN)': 1, 'symbol(sortKeyVS)': 1, 'symbol(sortVS)': 1, 'symbol(sqrtF)': 1, 'symbol(subF)': 1, 'symbol(toF)': 1, 'symbol(truncF)': 1, 'total': 110}

| Source | Line | Kind | Attributes | Decision | Normalized declaration/rule |
|---|---:|---|---|---|---|
| `semantics/assert.k` | 6 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)` |
| `semantics/float.k` | 146 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp("!=", I:Int, F:Float) => notBool eqF(intToF(I), F)` |
| `semantics/float.k` | 147 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp("!=", F:Float, I:Int) => notBool eqF(F, intToF(I))` |
| `semantics/float.k` | 148 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp("<", I:Int, F:Float) => floatLt(intToF(I), F)` |
| `semantics/float.k` | 149 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp("<", F:Float, I:Int) => floatLt(F, intToF(I))` |
| `semantics/float.k` | 150 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp(">", I:Int, F:Float) => gtF(intToF(I), F)` |
| `semantics/float.k` | 151 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp(">", F:Float, I:Int) => gtF(F, intToF(I))` |
| `semantics/float.k` | 154 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp("==", V:Val, noneV) => V ==K noneV` |
| `semantics/float.k` | 155 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp("!=", V:Val, noneV) => notBool (V ==K noneV)` |
| `semantics/float.k` | 160 | syntax | function, no-evaluators, symbol(decStrToF), total | UNUSED OPAQUE—unreachable from submitted body; no dependent claim | `syntax Float ::= decStrToF(IntSeq) [function, total, symbol(decStrToF), no-evaluators]` |
| `semantics/float.k` | 161 | rule | concrete | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule decStrToF(iCons(45, CS:IntSeq)) => 0.0 -Float decStrToF(CS) [concrete]` |
| `semantics/float.k` | 162 | rule | concrete | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule decStrToF(CS:IntSeq) => intToF(intPart(CS)) +Float (intToF(fracPart(CS)) /Float intToF(fracScale(CS))) requires isLen(CS) >Int 0 andBool headIS(CS) =/=Int 45 [concrete]` |
| `semantics/float.k` | 165 | syntax | function | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Int ::= headIS(IntSeq) [function]` |
| `semantics/float.k` | 166 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule headIS(iCons(C:Int, _:IntSeq)) => C` |
| `semantics/float.k` | 167 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Int ::= intPart(IntSeq) [function, total] \| intPartAcc(IntSeq, Int) [function, total]` |
| `semantics/float.k` | 168 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule intPart(CS:IntSeq) => intPartAcc(CS, 0)` |
| `semantics/float.k` | 169 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule intPartAcc(.IntSeq, A:Int) => A` |
| `semantics/float.k` | 170 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule intPartAcc(iCons(46, _:IntSeq), A:Int) => A` |
| `semantics/float.k` | 171 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule intPartAcc(iCons(C:Int, R:IntSeq), A:Int) => intPartAcc(R, A *Int 10 +Int (C -Int 48)) requires C =/=Int 46` |
| `semantics/float.k` | 173 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Int ::= fracPart(IntSeq) [function, total] \| fracAcc(IntSeq, Int) [function, total]` |
| `semantics/float.k` | 174 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule fracPart(.IntSeq) => 0` |
| `semantics/float.k` | 175 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule fracPart(iCons(46, R:IntSeq)) => fracAcc(R, 0)` |
| `semantics/float.k` | 176 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule fracPart(iCons(C:Int, R:IntSeq)) => fracPart(R) requires C =/=Int 46` |
| `semantics/float.k` | 177 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule fracAcc(.IntSeq, A:Int) => A` |
| `semantics/float.k` | 178 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule fracAcc(iCons(C:Int, R:IntSeq), A:Int) => fracAcc(R, A *Int 10 +Int (C -Int 48))` |
| `semantics/float.k` | 179 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Int ::= fracScale(IntSeq) [function, total] \| fscAcc(IntSeq, Int) [function, total]` |
| `semantics/float.k` | 180 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule fracScale(.IntSeq) => 1` |
| `semantics/float.k` | 181 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule fracScale(iCons(46, R:IntSeq)) => fscAcc(R, 1)` |
| `semantics/float.k` | 182 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule fracScale(iCons(C:Int, R:IntSeq)) => fracScale(R) requires C =/=Int 46` |
| `semantics/float.k` | 183 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule fscAcc(.IntSeq, A:Int) => A` |
| `semantics/float.k` | 184 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule fscAcc(iCons(_:Int, R:IntSeq), A:Int) => fscAcc(R, A *Int 10)` |
| `semantics/float.k` | 185 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("float", str(CS:IntSeq), .Vals) => decStrToF(CS)` |
| `semantics/float.k` | 186 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("float", I:Int, .Vals) => intToF(I)` |
| `semantics/float.k` | 187 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("float", F:Float, .Vals) => F` |
| `semantics/float.k` | 190 | syntax | function, no-evaluators, symbol(divFloatIntV), total | UNUSED OPAQUE—unreachable from submitted body; no dependent claim | `syntax Float ::= divFloatIntV(Float, Int) [function, total, symbol(divFloatIntV), no-evaluators]` |
| `semantics/float.k` | 191 | rule | concrete | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule divFloatIntV(F:Float, I:Int) => F /Float Int2Float(I, 53, 11) [concrete]` |
| `semantics/float.k` | 192 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBin("/", F:Float, I:Int) => divFloatIntV(F, I)` |
| `semantics/float.k` | 195 | syntax | function, no-evaluators, symbol(intToF), total | UNUSED OPAQUE—unreachable from submitted body; no dependent claim | `syntax Float ::= intToF(Int) [function, total, symbol(intToF), no-evaluators]` |
| `semantics/float.k` | 196 | rule | concrete | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule intToF(I:Int) => Int2Float(I, 53, 11) [concrete]` |
| `semantics/float.k` | 197 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBin("+", I:Int, F:Float) => addF(intToF(I), F)` |
| `semantics/float.k` | 198 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBin("+", F:Float, I:Int) => addF(F, intToF(I))` |
| `semantics/float.k` | 199 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBin("-", I:Int, F:Float) => subF(intToF(I), F)` |
| `semantics/float.k` | 200 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBin("-", F:Float, I:Int) => subF(F, intToF(I))` |
| `semantics/float.k` | 201 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBin("*", I:Int, F:Float) => mulF(intToF(I), F)` |
| `semantics/float.k` | 202 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBin("*", F:Float, I:Int) => mulF(F, intToF(I))` |
| `semantics/float.k` | 203 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp("<", I:Int, F:Float) => floatLt(intToF(I), F)` |
| `semantics/float.k` | 204 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp("<", F:Float, I:Int) => floatLt(F, intToF(I))` |
| `semantics/float.k` | 205 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp(">", I:Int, F:Float) => gtF(intToF(I), F)` |
| `semantics/float.k` | 206 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp(">", F:Float, I:Int) => gtF(F, intToF(I))` |
| `semantics/float.k` | 209 | syntax | function, no-evaluators, symbol(truncF), total | UNUSED OPAQUE—unreachable from submitted body; no dependent claim | `syntax Int ::= truncF(Float) [function, total, symbol(truncF), no-evaluators]` |
| `semantics/float.k` | 210 | rule | concrete | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule truncF(F:Float) => #if F >=Float 0.0 #then Float2Int(floorFloat(F)) #else Float2Int(ceilFloat(F)) #fi [concrete]` |
| `semantics/float.k` | 211 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("int", F:Float, .Vals) => truncF(F)` |
| `semantics/float.k` | 213 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("float", I:Int, .Vals) => intToF(I)` |
| `semantics/float.k` | 214 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("float", F:Float, .Vals) => F` |
| `semantics/float.k` | 217 | syntax | function, no-evaluators, symbol(roundF), total | UNUSED OPAQUE—unreachable from submitted body; no dependent claim | `syntax Int ::= roundF(Float) [function, total, symbol(roundF), no-evaluators]` |
| `semantics/float.k` | 218 | rule | concrete | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule roundF(F:Float) => #if (F -Float floorFloat(F)) ==Float 0.5 #then (#if Float2Int(floorFloat(F)) %Int 2 ==Int 0 #then Float2Int(floorFloat(F)) #else Float2Int(ceilFloat(F)) #fi) #else Float2Int(floorFloat(F +Float 0.5)) #fi [concrete]` |
| `semantics/float.k` | 223 | syntax | function, no-evaluators, symbol(roundFN), total | UNUSED OPAQUE—unreachable from submitted body; no dependent claim | `syntax Float ::= roundFN(Float, Int) [function, total, symbol(roundFN), no-evaluators]` |
| `semantics/float.k` | 224 | rule | concrete | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule roundFN(F:Float, N:Int) => Int2Float(roundF(F *Float Int2Float(10 ^Int N, 53, 11)), 53, 11) /Float Int2Float(10 ^Int N, 53, 11) [concrete]` |
| `semantics/float.k` | 227 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("round", F:Float, .Vals) => roundF(F)` |
| `semantics/float.k` | 228 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("round", F:Float, N:Int, .Vals) => roundFN(F, N)` |
| `semantics/float.k` | 230 | syntax | function, no-evaluators, symbol(sqrtF), total | UNUSED OPAQUE—unreachable from submitted body; no dependent claim | `syntax Float ::= sqrtF(Float) [function, total, symbol(sqrtF), no-evaluators]` |
| `semantics/float.k` | 231 | rule | concrete | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule sqrtF(F:Float) => sqrtFloat(F) [concrete]` |
| `semantics/float.k` | 232 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax KItem ::= "#mathSqrt"` |
| `semantics/float.k` | 233 | rule | priority(40) | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> Call(Attribute(Name("math"), "sqrt"), (E:Expr, .Exprs)) => E ~> #mathSqrt ... </k> [priority(40)]` |
| `semantics/float.k` | 234 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> F:Float ~> #mathSqrt => sqrtF(F) ... </k>` |
| `semantics/float.k` | 235 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> I:Int ~> #mathSqrt => sqrtF(intToF(I)) ... </k>` |
| `semantics/float.k` | 243 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax KItem ::= #maxAccF(Iterable, Float) \| #maxContF(Float)` |
| `semantics/float.k` | 244 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAccF(R, {V}:>Float) ... </k> requires isFloat(V)` |
| `semantics/float.k` | 245 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #maxAccF(IT:Iterable, M:Float) => #iterNext(IT) ~> #maxContF(M) ... </k>` |
| `semantics/float.k` | 246 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterDone ~> #maxContF(M:Float) => M ... </k>` |
| `semantics/float.k` | 247 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterYield(V:Val, R:Iterable) ~> #maxContF(M:Float) => #maxAccF(R, maxFloat(M, {V}:>Float)) ... </k> requires isFloat(V)` |
| `semantics/float.k` | 250 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax KItem ::= #minAccF(Iterable, Float) \| #minContF(Float)` |
| `semantics/float.k` | 251 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAccF(R, {V}:>Float) ... </k> requires isFloat(V)` |
| `semantics/float.k` | 252 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #minAccF(IT:Iterable, M:Float) => #iterNext(IT) ~> #minContF(M) ... </k>` |
| `semantics/float.k` | 253 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterDone ~> #minContF(M:Float) => M ... </k>` |
| `semantics/float.k` | 254 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterYield(V:Val, R:Iterable) ~> #minContF(M:Float) => #minAccF(R, minFloat(M, {V}:>Float)) ... </k> requires isFloat(V)` |
| `semantics/float.k` | 261 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax KItem ::= #sumAccF(Iterable, Float) \| #sumContF(Float)` |
| `semantics/float.k` | 262 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAccF(R, addF(intToF(ACC), {V}:>Float)) ... </k> requires isFloat(V) andBool notBool (isInt(V) orBool isBool(V))` |
| `semantics/float.k` | 265 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #sumAccF(IT:Iterable, ACC:Float) => #iterNext(IT) ~> #sumContF(ACC) ... </k>` |
| `semantics/float.k` | 266 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterDone ~> #sumContF(ACC:Float) => ACC ... </k>` |
| `semantics/float.k` | 267 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterYield(V:Val, R:Iterable) ~> #sumContF(ACC:Float) => #sumAccF(R, addF(ACC, {V}:>Float)) ... </k> requires isFloat(V)` |
| `semantics/float.k` | 270 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterYield(V:Val, R:Iterable) ~> #sumContF(ACC:Float) => #sumAccF(R, addF(ACC, intToF(intOf(V)))) ... </k> requires isInt(V) orBool isBool(V)` |
| `semantics/functions.k` | 8 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax KItem ::= frame(continuation: K, callerEnv: Int, savedLoc: Int) \| #bindP(ParamNames, Vals) \| "#pop" \| "#endcall"` |
| `semantics/functions.k` | 14 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> FuncDef(F:String, Params(PNS:ParamNames), BODY:Stmts) => .K ... </k> <env> L:Int </env> <scopes> ... L \|-> scope(M:Map => M [ F <- closureVal(PNS, BODY, L) ], _) ... </scopes>` |
| `semantics/functions.k` | 18 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Expr ::= closureExpr(ParamNames, Stmts)` |
| `semantics/functions.k` | 19 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> closureExpr(PNS:ParamNames, BODY:Stmts) => closureVal(PNS, BODY, L) ... </k> <env> L:Int </env>` |
| `semantics/functions.k` | 27 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Val ::= closureValC(ParamNames, ParamNames, Stmts, Map)` |
| `semantics/functions.k` | 31 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax KItem ::= #mkClosure(String, ParamNames, ParamNames, ParamNames, Stmts, Map) \| #mkLambda(ParamNames, ParamNames, ParamNames, Stmts, Map)` |
| `semantics/functions.k` | 33 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> FuncDef(F:String, Params(PNS:ParamNames), CellVars(CVS:ParamNames), FreeVars(FVS:ParamNames), BODY:Stmts) => #mkClosure(F, PNS, CVS, FVS, BODY, .Map) ... </k>` |
| `semantics/functions.k` | 36 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #mkClosure(F:String, PNS:ParamNames, CVS:ParamNames, (FV:String, FVR:ParamNames), BODY:Stmts, CM:Map) => #mkClosure(F, PNS, CVS, FVR, BODY, CM [ FV <- {M[FV]}:>Val ]) ... </k> <env> L:Int </env> <scopes> ... L \|-> scope(M:Map, _) ... </scopes> requires FV in_keys(M)` |
| `semantics/functions.k` | 42 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #mkClosure(F:String, PNS:ParamNames, CVS:ParamNames, .ParamNames, BODY:Stmts, CM:Map) => .K ... </k> <env> L:Int </env> <scopes> ... L \|-> scope(M:Map => M [ F <- closureValC(PNS, CVS, BODY, CM) ], _) ... </scopes>` |
| `semantics/functions.k` | 47 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> Lambda(Params(PNS:ParamNames), E:Expr) => closureVal(PNS, Return(E) .Stmts, L) ... </k> <env> L:Int </env>` |
| `semantics/functions.k` | 50 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> Lambda(Params(PNS:ParamNames), CellVars(CVS:ParamNames), FreeVars(FVS:ParamNames), E:Expr) => #mkLambda(PNS, CVS, FVS, Return(E) .Stmts, .Map) ... </k>` |
| `semantics/functions.k` | 53 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #mkLambda(PNS:ParamNames, CVS:ParamNames, (FV:String, FVR:ParamNames), BODY:Stmts, CM:Map) => #mkLambda(PNS, CVS, FVR, BODY, CM [ FV <- {M[FV]}:>Val ]) ... </k> <env> L:Int </env> <scopes> ... L \|-> scope(M:Map, _) ... </scopes> requires FV in_keys(M)` |
| `semantics/functions.k` | 59 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #mkLambda(PNS:ParamNames, CVS:ParamNames, .ParamNames, BODY:Stmts, CM:Map) => closureValC(PNS, CVS, BODY, CM) ... </k>` |
| `semantics/functions.k` | 63 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> #bindP(.ParamNames, .Vals) => .K ... </k>` |
| `semantics/functions.k` | 64 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> #bindP((P:String, PS:ParamNames), (V:Val, VS:Vals)) => #bindP(PS, VS) ... </k> <env> L:Int </env> <scopes> ... L \|-> scope(M:Map => M [ P <- V ], _) ... </scopes>` |
| `semantics/functions.k` | 68 | rule | priority(40) | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #bindP((P:String, PS:ParamNames), (V:Val, VS:Vals)) => #cellW({M[P]}:>Val, V) ~> #bindP(PS, VS) ... </k> <env> L:Int </env> <scopes> ... L \|-> scope(M:Map, _) ... </scopes> requires "$cells" in_keys(M) andBool pnMember(P, cellsOf({M["$cells"]}:>Val)) andBool P in_keys(M) andBool isCellRef({M[P]}:>Val) [priority(40)]` |
| `semantics/functions.k` | 78 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> Return(V:Val) ~> _ => #pop </k> <ret> noRet => retV(V) </ret>` |
| `semantics/functions.k` | 80 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> #endcall => #pop ... </k> <ret> noRet => retV(noneV) </ret>` |
| `semantics/functions.k` | 85 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> #pop => V ~> CONT </k> <ret> retV(V) => noRet </ret> <stack> ListItem(frame(CONT:K, CALLERL:Int, SAVEDL:Int)) => .List ... </stack> <env> L:Int => CALLERL </env> <scopes> SC:Map => SC [ L <- undef ] </scopes> <scopeLoc> _ => SAVEDL </scopeLoc>` |
| `semantics/int.k` | 7 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyUn("-", I:Int) => 0 -Int I` |
| `semantics/int.k` | 9 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBin("+", I1:Int, I2:Int) => I1 +Int I2` |
| `semantics/int.k` | 11 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBin("+", I:Int, B:Bool) => I +Int #if B #then 1 #else 0 #fi` |
| `semantics/int.k` | 12 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBin("+", B:Bool, I:Int) => #if B #then 1 #else 0 #fi +Int I` |
| `semantics/int.k` | 13 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBin("-", I1:Int, I2:Int) => I1 -Int I2` |
| `semantics/int.k` | 14 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBin("*", I1:Int, I2:Int) => I1 *Int I2` |
| `semantics/int.k` | 15 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBin("%", I1:Int, I2:Int) => pyMod(I1, I2)` |
| `semantics/int.k` | 16 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBin("//", I1:Int, I2:Int) => (I1 -Int pyMod(I1, I2)) /Int I2` |
| `semantics/int.k` | 17 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBin("**", I1:Int, I2:Int) => I1 ^Int I2 requires I2 >=Int 0` |
| `semantics/int.k` | 19 | syntax | function | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Int ::= pyMod(Int, Int) [function]` |
| `semantics/int.k` | 20 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule pyMod(I1:Int, I2:Int) => ((I1 %Int I2) +Int I2) %Int I2` |
| `semantics/int.k` | 22 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp("<", I1:Int, I2:Int) => I1 <Int I2` |
| `semantics/int.k` | 23 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp("<=", I1:Int, I2:Int) => I1 <=Int I2` |
| `semantics/int.k` | 24 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp(">", I1:Int, I2:Int) => I1 >Int I2` |
| `semantics/int.k` | 25 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp(">=", I1:Int, I2:Int) => I1 >=Int I2` |
| `semantics/int.k` | 26 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp("==", I1:Int, I2:Int) => I1 ==Int I2` |
| `semantics/int.k` | 27 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp("!=", I1:Int, I2:Int) => I1 =/=Int I2` |
| `semantics/iter.k` | 8 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax KItem ::= #iterNext(Iterable) \| "#iterDone" \| #iterYield(Val, Iterable)` |
| `semantics/list.k` | 9 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterNext(list(.ValSeq)) => #iterDone ... </k>` |
| `semantics/list.k` | 10 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterNext(list(vCons(V:Val, R:ValSeq))) => #iterYield(V, list(R)) ... </k>` |
| `semantics/list.k` | 13 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax ApplyK ::= "toList"` |
| `semantics/list.k` | 14 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> ListExpr(ES:Exprs) => #evalArgs(ES, .Vals, toList) ... </k>` |
| `semantics/list.k` | 15 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #applyK(toList, ACC:Vals) => #alloc(list(vals2valSeq(ACC))) ... </k>` |
| `semantics/list.k` | 18 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax ValSeq ::= valSeqConcat(ValSeq, ValSeq) [function, total]` |
| `semantics/list.k` | 19 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule valSeqConcat(.ValSeq, T:ValSeq) => T` |
| `semantics/list.k` | 20 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule valSeqConcat(vCons(V:Val, S:ValSeq), T:ValSeq) => vCons(V, valSeqConcat(S, T))` |
| `semantics/list.k` | 24 | rule | priority(45) | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> BinOp("+", list(A:ValSeq), list(B:ValSeq)) => #alloc(list(valSeqConcat(A, B))) ... </k> [priority(45)]` |
| `semantics/list.k` | 27 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp("==", list(A:ValSeq), list(B:ValSeq)) => A ==K B` |
| `semantics/list.k` | 28 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp("!=", list(A:ValSeq), list(B:ValSeq)) => notBool (A ==K B)` |
| `semantics/list.k` | 33 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Bool ::= hasRefVS(ValSeq) [function, total]` |
| `semantics/list.k` | 34 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule hasRefVS(.ValSeq) => false` |
| `semantics/list.k` | 35 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule hasRefVS(vCons(V:Val, R:ValSeq)) => isRefV(V) orBool hasRefVS(R)` |
