$ python3 /audit-output/evidence/differential_test.py
CASE index=0 n=1 m=5 canonical=('return', 'str', '0b11') candidate=('return', 'str', '0b11')
CASE index=580 n=3 m=10 canonical=('return', 'str', '0b110') candidate=('return', 'str', '0b110')
CASE index=581 n=60 m=64 canonical=('return', 'str', '0b111110') candidate=('return', 'str', '0b111110')
CASE index=582 n=45 m=207 canonical=('return', 'str', '0b1111110') candidate=('return', 'str', '0b1111110')
CASE index=583 n=145 m=217 canonical=('return', 'str', '0b10110101') candidate=('return', 'str', '0b10110101')
CASE index=584 n=227 m=6 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=585 n=179 m=201 canonical=('return', 'str', '0b10111110') candidate=('return', 'str', '0b10111110')
CASE index=586 n=235 m=116 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=587 n=51 m=55 canonical=('return', 'str', '0b110101') candidate=('return', 'str', '0b110101')
CASE index=588 n=181 m=236 canonical=('return', 'str', '0b11010000') candidate=('return', 'str', '0b11010000')
CASE index=589 n=249 m=148 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=590 n=210 m=64 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=591 n=174 m=235 canonical=('return', 'str', '0b11001100') candidate=('return', 'str', '0b11001100')
CASE index=592 n=189 m=17 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=593 n=182 m=181 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=594 n=226 m=187 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=595 n=189 m=30 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=596 n=122 m=156 canonical=('return', 'str', '0b10001011') candidate=('return', 'str', '0b10001011')
CASE index=597 n=77 m=66 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=598 n=57 m=3 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=599 n=195 m=216 canonical=('return', 'str', '0b11001110') candidate=('return', 'str', '0b11001110')
CASE index=600 n=129 m=151 canonical=('return', 'str', '0b10001100') candidate=('return', 'str', '0b10001100')
CASE index=601 n=7 m=139 canonical=('return', 'str', '0b1001001') candidate=('return', 'str', '0b1001001')
CASE index=602 n=178 m=109 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=603 n=187 m=5 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=604 n=203 m=20 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=605 n=122 m=183 canonical=('return', 'str', '0b10011000') candidate=('return', 'str', '0b10011000')
CASE index=606 n=175 m=12 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=607 n=156 m=151 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=608 n=203 m=69 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=609 n=21 m=56 canonical=('return', 'str', '0b100110') candidate=('return', 'str', '0b100110')
CASE index=610 n=1 m=216 canonical=('return', 'str', '0b1101100') candidate=('return', 'str', '0b1101100')
CASE index=611 n=27 m=67 canonical=('return', 'str', '0b101111') candidate=('return', 'str', '0b101111')
CASE index=612 n=125 m=6 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=613 n=10 m=175 canonical=('return', 'str', '0b1011100') candidate=('return', 'str', '0b1011100')
CASE index=614 n=250 m=201 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=615 n=168 m=222 canonical=('return', 'str', '0b11000011') candidate=('return', 'str', '0b11000011')
CASE index=616 n=88 m=102 canonical=('return', 'str', '0b1011111') candidate=('return', 'str', '0b1011111')
CASE index=617 n=20 m=117 canonical=('return', 'str', '0b1000100') candidate=('return', 'str', '0b1000100')
CASE index=618 n=242 m=18 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=619 n=73 m=220 canonical=('return', 'str', '0b10010010') candidate=('return', 'str', '0b10010010')
CASE index=620 n=35 m=74 canonical=('return', 'str', '0b110110') candidate=('return', 'str', '0b110110')
CASE index=621 n=73 m=11 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=622 n=24 m=83 canonical=('return', 'str', '0b110110') candidate=('return', 'str', '0b110110')
CASE index=623 n=2 m=239 canonical=('return', 'str', '0b1111000') candidate=('return', 'str', '0b1111000')
CASE index=624 n=38 m=21 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=625 n=143 m=234 canonical=('return', 'str', '0b10111100') candidate=('return', 'str', '0b10111100')
CASE index=626 n=17 m=186 canonical=('return', 'str', '0b1100110') candidate=('return', 'str', '0b1100110')
CASE index=627 n=195 m=248 canonical=('return', 'str', '0b11011110') candidate=('return', 'str', '0b11011110')
CASE index=628 n=1 m=57 canonical=('return', 'str', '0b11101') candidate=('return', 'str', '0b11101')
CASE index=629 n=46 m=43 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=630 n=244 m=30 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=631 n=31 m=1 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=632 n=109 m=131 canonical=('return', 'str', '0b1111000') candidate=('return', 'str', '0b1111000')
CASE index=633 n=128 m=18 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=634 n=207 m=31 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=635 n=6 m=1 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=636 n=183 m=214 canonical=('return', 'str', '0b11000110') candidate=('return', 'str', '0b11000110')
CASE index=637 n=175 m=41 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=638 n=170 m=106 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=639 n=178 m=199 canonical=('return', 'str', '0b10111100') candidate=('return', 'str', '0b10111100')
CASE index=640 n=146 m=38 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=641 n=214 m=93 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=642 n=160 m=214 canonical=('return', 'str', '0b10111011') candidate=('return', 'str', '0b10111011')
CASE index=643 n=153 m=163 canonical=('return', 'str', '0b10011110') candidate=('return', 'str', '0b10011110')
CASE index=644 n=67 m=35 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=645 n=116 m=134 canonical=('return', 'str', '0b1111101') candidate=('return', 'str', '0b1111101')
CASE index=646 n=180 m=214 canonical=('return', 'str', '0b11000101') candidate=('return', 'str', '0b11000101')
CASE index=647 n=222 m=139 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=648 n=192 m=70 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=649 n=166 m=55 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=650 n=53 m=232 canonical=('return', 'str', '0b10001110') candidate=('return', 'str', '0b10001110')
CASE index=651 n=103 m=101 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=652 n=232 m=51 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=653 n=247 m=71 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=654 n=208 m=153 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=655 n=198 m=220 canonical=('return', 'str', '0b11010001') candidate=('return', 'str', '0b11010001')
CASE index=656 n=106 m=169 canonical=('return', 'str', '0b10001010') candidate=('return', 'str', '0b10001010')
CASE index=657 n=137 m=156 canonical=('return', 'str', '0b10010010') candidate=('return', 'str', '0b10010010')
CASE index=658 n=178 m=90 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=659 n=227 m=61 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=660 n=139 m=173 canonical=('return', 'str', '0b10011100') candidate=('return', 'str', '0b10011100')
CASE index=661 n=105 m=92 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=662 n=129 m=77 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=663 n=73 m=191 canonical=('return', 'str', '0b10000100') candidate=('return', 'str', '0b10000100')
CASE index=664 n=72 m=236 canonical=('return', 'str', '0b10011010') candidate=('return', 'str', '0b10011010')
CASE index=665 n=140 m=217 canonical=('return', 'str', '0b10110010') candidate=('return', 'str', '0b10110010')
CASE index=666 n=85 m=32 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=667 n=234 m=196 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=668 n=127 m=139 canonical=('return', 'str', '0b10000101') candidate=('return', 'str', '0b10000101')
CASE index=669 n=24 m=18 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=670 n=237 m=207 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=671 n=54 m=140 canonical=('return', 'str', '0b1100001') candidate=('return', 'str', '0b1100001')
CASE index=672 n=143 m=124 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=673 n=203 m=18 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=674 n=243 m=143 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=675 n=31 m=123 canonical=('return', 'str', '0b1001101') candidate=('return', 'str', '0b1001101')
CASE index=676 n=159 m=212 canonical=('return', 'str', '0b10111010') candidate=('return', 'str', '0b10111010')
CASE index=677 n=172 m=233 canonical=('return', 'str', '0b11001010') candidate=('return', 'str', '0b11001010')
CASE index=678 n=166 m=34 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=679 n=234 m=233 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=680 n=58 m=102 canonical=('return', 'str', '0b1010000') candidate=('return', 'str', '0b1010000')
CASE index=681 n=89 m=5 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=682 n=176 m=193 canonical=('return', 'str', '0b10111000') candidate=('return', 'str', '0b10111000')
CASE index=683 n=147 m=208 canonical=('return', 'str', '0b10110010') candidate=('return', 'str', '0b10110010')
CASE index=684 n=4 m=204 canonical=('return', 'str', '0b1101000') candidate=('return', 'str', '0b1101000')
CASE index=685 n=245 m=40 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=686 n=10 m=189 canonical=('return', 'str', '0b1100100') candidate=('return', 'str', '0b1100100')
CASE index=687 n=248 m=239 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=688 n=221 m=245 canonical=('return', 'str', '0b11101001') candidate=('return', 'str', '0b11101001')
CASE index=689 n=20 m=93 canonical=('return', 'str', '0b111000') candidate=('return', 'str', '0b111000')
CASE index=690 n=105 m=216 canonical=('return', 'str', '0b10100000') candidate=('return', 'str', '0b10100000')
CASE index=691 n=30 m=29 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=692 n=15 m=228 canonical=('return', 'str', '0b1111010') candidate=('return', 'str', '0b1111010')
CASE index=693 n=10 m=151 canonical=('return', 'str', '0b1010000') candidate=('return', 'str', '0b1010000')
CASE index=694 n=34 m=170 canonical=('return', 'str', '0b1100110') candidate=('return', 'str', '0b1100110')
CASE index=695 n=137 m=196 canonical=('return', 'str', '0b10100110') candidate=('return', 'str', '0b10100110')
CASE index=696 n=85 m=67 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=697 n=71 m=59 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=698 n=233 m=17 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=699 n=50 m=183 canonical=('return', 'str', '0b1110100') candidate=('return', 'str', '0b1110100')
CASE index=700 n=202 m=9 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=701 n=240 m=6 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=702 n=62 m=168 canonical=('return', 'str', '0b1110011') candidate=('return', 'str', '0b1110011')
CASE index=703 n=45 m=128 canonical=('return', 'str', '0b1010110') candidate=('return', 'str', '0b1010110')
CASE index=704 n=157 m=9 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=705 n=36 m=135 canonical=('return', 'str', '0b1010110') candidate=('return', 'str', '0b1010110')
CASE index=706 n=137 m=7 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=707 n=50 m=115 canonical=('return', 'str', '0b1010010') candidate=('return', 'str', '0b1010010')
CASE index=708 n=206 m=189 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=709 n=245 m=186 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=710 n=247 m=233 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=711 n=30 m=184 canonical=('return', 'str', '0b1101011') candidate=('return', 'str', '0b1101011')
CASE index=712 n=188 m=66 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=713 n=141 m=96 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=714 n=26 m=223 canonical=('return', 'str', '0b1111100') candidate=('return', 'str', '0b1111100')
CASE index=715 n=113 m=208 canonical=('return', 'str', '0b10100000') candidate=('return', 'str', '0b10100000')
CASE index=716 n=186 m=161 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=717 n=185 m=83 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=718 n=117 m=229 canonical=('return', 'str', '0b10101101') candidate=('return', 'str', '0b10101101')
CASE index=719 n=22 m=63 canonical=('return', 'str', '0b101010') candidate=('return', 'str', '0b101010')
CASE index=720 n=98 m=39 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=721 n=83 m=178 canonical=('return', 'str', '0b10000010') candidate=('return', 'str', '0b10000010')
CASE index=722 n=90 m=58 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=723 n=244 m=48 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=724 n=158 m=82 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=725 n=162 m=179 canonical=('return', 'str', '0b10101010') candidate=('return', 'str', '0b10101010')
CASE index=726 n=1 m=40 canonical=('return', 'str', '0b10100') candidate=('return', 'str', '0b10100')
CASE index=727 n=88 m=177 canonical=('return', 'str', '0b10000100') candidate=('return', 'str', '0b10000100')
CASE index=728 n=198 m=168 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=729 n=40 m=5 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=730 n=181 m=75 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=731 n=139 m=36 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=732 n=233 m=148 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=733 n=152 m=84 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=734 n=102 m=211 canonical=('return', 'str', '0b10011100') candidate=('return', 'str', '0b10011100')
CASE index=735 n=128 m=200 canonical=('return', 'str', '0b10100100') candidate=('return', 'str', '0b10100100')
CASE index=736 n=124 m=97 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=737 n=2 m=235 canonical=('return', 'str', '0b1110110') candidate=('return', 'str', '0b1110110')
CASE index=738 n=103 m=224 canonical=('return', 'str', '0b10100100') candidate=('return', 'str', '0b10100100')
CASE index=739 n=115 m=241 canonical=('return', 'str', '0b10110010') candidate=('return', 'str', '0b10110010')
CASE index=740 n=16 m=246 canonical=('return', 'str', '0b10000011') candidate=('return', 'str', '0b10000011')
CASE index=741 n=115 m=230 canonical=('return', 'str', '0b10101100') candidate=('return', 'str', '0b10101100')
CASE index=742 n=105 m=241 canonical=('return', 'str', '0b10101101') candidate=('return', 'str', '0b10101101')
CASE index=743 n=92 m=118 canonical=('return', 'str', '0b1101001') candidate=('return', 'str', '0b1101001')
CASE index=744 n=186 m=210 canonical=('return', 'str', '0b11000110') candidate=('return', 'str', '0b11000110')
CASE index=745 n=70 m=72 canonical=('return', 'str', '0b1000111') candidate=('return', 'str', '0b1000111')
CASE index=746 n=170 m=17 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=747 n=5 m=207 canonical=('return', 'str', '0b1101010') candidate=('return', 'str', '0b1101010')
CASE index=748 n=61 m=175 canonical=('return', 'str', '0b1110110') candidate=('return', 'str', '0b1110110')
CASE index=749 n=71 m=13 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=750 n=36 m=247 canonical=('return', 'str', '0b10001110') candidate=('return', 'str', '0b10001110')
CASE index=751 n=92 m=163 canonical=('return', 'str', '0b10000000') candidate=('return', 'str', '0b10000000')
CASE index=752 n=219 m=103 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=753 n=217 m=127 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=754 n=146 m=247 canonical=('return', 'str', '0b11000100') candidate=('return', 'str', '0b11000100')
CASE index=755 n=145 m=235 canonical=('return', 'str', '0b10111110') candidate=('return', 'str', '0b10111110')
CASE index=756 n=33 m=172 canonical=('return', 'str', '0b1100110') candidate=('return', 'str', '0b1100110')
CASE index=757 n=62 m=20 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=758 n=46 m=167 canonical=('return', 'str', '0b1101010') candidate=('return', 'str', '0b1101010')
CASE index=759 n=9 m=146 canonical=('return', 'str', '0b1001110') candidate=('return', 'str', '0b1001110')
CASE index=760 n=37 m=181 canonical=('return', 'str', '0b1101101') candidate=('return', 'str', '0b1101101')
CASE index=761 n=151 m=176 canonical=('return', 'str', '0b10100100') candidate=('return', 'str', '0b10100100')
CASE index=762 n=167 m=15 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=763 n=198 m=24 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=764 n=214 m=208 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=765 n=180 m=143 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=766 n=239 m=180 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=767 n=6 m=228 canonical=('return', 'str', '0b1110101') candidate=('return', 'str', '0b1110101')
CASE index=768 n=249 m=192 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=769 n=114 m=139 canonical=('return', 'str', '0b1111110') candidate=('return', 'str', '0b1111110')
CASE index=770 n=195 m=129 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=771 n=154 m=104 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=772 n=197 m=94 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=773 n=171 m=116 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=774 n=40 m=151 canonical=('return', 'str', '0b1100000') candidate=('return', 'str', '0b1100000')
CASE index=775 n=137 m=141 canonical=('return', 'str', '0b10001011') candidate=('return', 'str', '0b10001011')
CASE index=776 n=13 m=196 canonical=('return', 'str', '0b1101000') candidate=('return', 'str', '0b1101000')
CASE index=777 n=225 m=22 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=778 n=190 m=165 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=779 n=78 m=2 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=780 n=84 m=124 canonical=('return', 'str', '0b1101000') candidate=('return', 'str', '0b1101000')
CASE index=781 n=85 m=216 canonical=('return', 'str', '0b10010110') candidate=('return', 'str', '0b10010110')
CASE index=782 n=31 m=169 canonical=('return', 'str', '0b1100100') candidate=('return', 'str', '0b1100100')
CASE index=783 n=139 m=21 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=784 n=180 m=212 canonical=('return', 'str', '0b11000100') candidate=('return', 'str', '0b11000100')
CASE index=785 n=89 m=236 canonical=('return', 'str', '0b10100010') candidate=('return', 'str', '0b10100010')
CASE index=786 n=111 m=82 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=787 n=222 m=44 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=788 n=179 m=22 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=789 n=38 m=59 canonical=('return', 'str', '0b110000') candidate=('return', 'str', '0b110000')
CASE index=790 n=58 m=220 canonical=('return', 'str', '0b10001011') candidate=('return', 'str', '0b10001011')
CASE index=791 n=232 m=91 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=792 n=164 m=234 canonical=('return', 'str', '0b11000111') candidate=('return', 'str', '0b11000111')
CASE index=793 n=39 m=206 canonical=('return', 'str', '0b1111010') candidate=('return', 'str', '0b1111010')
CASE index=794 n=121 m=157 canonical=('return', 'str', '0b10001011') candidate=('return', 'str', '0b10001011')
CASE index=795 n=96 m=224 canonical=('return', 'str', '0b10100000') candidate=('return', 'str', '0b10100000')
CASE index=796 n=156 m=212 canonical=('return', 'str', '0b10111000') candidate=('return', 'str', '0b10111000')
CASE index=797 n=220 m=29 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=798 n=204 m=147 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=799 n=78 m=117 canonical=('return', 'str', '0b1100010') candidate=('return', 'str', '0b1100010')
CASE index=800 n=63 m=194 canonical=('return', 'str', '0b10000000') candidate=('return', 'str', '0b10000000')
CASE index=801 n=26 m=150 canonical=('return', 'str', '0b1011000') candidate=('return', 'str', '0b1011000')
CASE index=802 n=70 m=112 canonical=('return', 'str', '0b1011011') candidate=('return', 'str', '0b1011011')
CASE index=803 n=167 m=127 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=804 n=170 m=117 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=805 n=133 m=131 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=806 n=192 m=91 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=807 n=26 m=137 canonical=('return', 'str', '0b1010010') candidate=('return', 'str', '0b1010010')
CASE index=808 n=43 m=27 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=809 n=43 m=134 canonical=('return', 'str', '0b1011000') candidate=('return', 'str', '0b1011000')
CASE index=810 n=182 m=78 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=811 n=168 m=196 canonical=('return', 'str', '0b10110110') candidate=('return', 'str', '0b10110110')
CASE index=812 n=96 m=221 canonical=('return', 'str', '0b10011110') candidate=('return', 'str', '0b10011110')
CASE index=813 n=7 m=72 canonical=('return', 'str', '0b101000') candidate=('return', 'str', '0b101000')
CASE index=814 n=177 m=237 canonical=('return', 'str', '0b11001111') candidate=('return', 'str', '0b11001111')
CASE index=815 n=50 m=231 canonical=('return', 'str', '0b10001100') candidate=('return', 'str', '0b10001100')
CASE index=816 n=147 m=46 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=817 n=236 m=174 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=818 n=240 m=163 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=819 n=245 m=65 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=820 n=149 m=66 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=821 n=40 m=32 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=822 n=26 m=102 canonical=('return', 'str', '0b1000000') candidate=('return', 'str', '0b1000000')
CASE index=823 n=228 m=198 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=824 n=92 m=88 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=825 n=225 m=202 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=826 n=209 m=94 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=827 n=13 m=175 canonical=('return', 'str', '0b1011110') candidate=('return', 'str', '0b1011110')
CASE index=828 n=141 m=87 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=829 n=2 m=156 canonical=('return', 'str', '0b1001111') candidate=('return', 'str', '0b1001111')
CASE index=830 n=202 m=166 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=831 n=69 m=126 canonical=('return', 'str', '0b1100010') candidate=('return', 'str', '0b1100010')
CASE index=832 n=202 m=73 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=833 n=16 m=23 canonical=('return', 'str', '0b10100') candidate=('return', 'str', '0b10100')
CASE index=834 n=171 m=43 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=835 n=35 m=150 canonical=('return', 'str', '0b1011100') candidate=('return', 'str', '0b1011100')
CASE index=836 n=248 m=133 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=837 n=98 m=17 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=838 n=145 m=180 canonical=('return', 'str', '0b10100010') candidate=('return', 'str', '0b10100010')
CASE index=839 n=70 m=21 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=840 n=86 m=38 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=841 n=53 m=226 canonical=('return', 'str', '0b10001100') candidate=('return', 'str', '0b10001100')
CASE index=842 n=88 m=108 canonical=('return', 'str', '0b1100010') candidate=('return', 'str', '0b1100010')
CASE index=843 n=242 m=106 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=844 n=116 m=166 canonical=('return', 'str', '0b10001101') candidate=('return', 'str', '0b10001101')
CASE index=845 n=114 m=126 canonical=('return', 'str', '0b1111000') candidate=('return', 'str', '0b1111000')
CASE index=846 n=246 m=83 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=847 n=5 m=246 canonical=('return', 'str', '0b1111110') candidate=('return', 'str', '0b1111110')
CASE index=848 n=125 m=168 canonical=('return', 'str', '0b10010010') candidate=('return', 'str', '0b10010010')
CASE index=849 n=138 m=128 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=850 n=212 m=112 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=851 n=188 m=149 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=852 n=162 m=210 canonical=('return', 'str', '0b10111010') candidate=('return', 'str', '0b10111010')
CASE index=853 n=217 m=101 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=854 n=206 m=59 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=855 n=152 m=27 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=856 n=122 m=230 canonical=('return', 'str', '0b10110000') candidate=('return', 'str', '0b10110000')
CASE index=857 n=102 m=28 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=858 n=206 m=108 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=859 n=152 m=98 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=860 n=168 m=78 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=861 n=166 m=80 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=862 n=16 m=187 canonical=('return', 'str', '0b1100110') candidate=('return', 'str', '0b1100110')
CASE index=863 n=80 m=93 canonical=('return', 'str', '0b1010110') candidate=('return', 'str', '0b1010110')
CASE index=864 n=96 m=223 canonical=('return', 'str', '0b10100000') candidate=('return', 'str', '0b10100000')
CASE index=865 n=50 m=164 canonical=('return', 'str', '0b1101011') candidate=('return', 'str', '0b1101011')
CASE index=866 n=136 m=135 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=867 n=238 m=103 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=868 n=198 m=108 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=869 n=89 m=165 canonical=('return', 'str', '0b1111111') candidate=('return', 'str', '0b1111111')
