Script started on 2026-07-26 16:04:12-05:00 [<not executed on terminal>]
+ python3 /audit-output/evidence/rule_inventory.py
# Exhaustive K declaration and rule inventory

Sources: trusted supplied semantics tree, candidate verification.k, candidate spec.k.
files=26 records=931
kind_counts=claim:1,configuration:1,context:5,rule:696,syntax:228

| ID | source | kind | attributes | proof-slice assessment | declaration/rule |
| 289 | `semantics/core.k:25` | syntax | function | UNUSED/INERT for submitted proof term | `syntax Val ::= Int &#124; Bool &#124; "noneV" &#124; Iterable &#124; ref(Int) // a heap object: <heap> holds its list(VS) &#124; cellRef(Int) // a closure cell: <heap> holds cellV(V) &#124; closureVal(ParamNames, Stmts, Int) &#124; typeV(String) // a type object (int/str), resolved from the builtins frame &#124; builtinV(String) // a builtin function, resolved like any name (LEGB fallthrough) &#124; boundMethodV(Val, String) // a cooled Attribute: obj.method` |
| 290 | `semantics/core.k:36` | syntax | - | UNUSED/INERT for submitted proof term | `syntax Parent ::= "root" &#124; parent(Int)` |
| 291 | `semantics/core.k:37` | syntax | - | UNUSED/INERT for submitted proof term | `syntax Scope ::= scope(Map, Parent)` |
| 292 | `semantics/core.k:38` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KResult ::= Val` |
| 293 | `semantics/core.k:39` | syntax | - | UNUSED/INERT for submitted proof term | `syntax Expr ::= Val // cooling puts results back into expression holes` |
| 294 | `semantics/core.k:40` | syntax | - | UNUSED/INERT for submitted proof term | `syntax Vals ::= List{Val, ","}` |
| 295 | `semantics/core.k:41` | syntax | - | UNUSED/INERT for submitted proof term | `syntax Exc ::= "NoExc" &#124; "AssertionError"` |
| 296 | `semantics/core.k:42` | syntax | - | UNUSED/INERT for submitted proof term | `syntax RetState ::= "noRet" &#124; retV(Val)` |
| 297 | `semantics/core.k:49` | configuration | - | UNUSED/INERT for submitted proof term | `configuration <k> #loadAll($PGM:Module) </k> <env> 0 </env> <scopes> 0 &#124;-> scope(.Map, parent(-1)) -1 &#124;-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap> .Map </heap> <heapLoc> 0 </heapLoc> <stack> .List </stack> <ret> noRet </ret> <exc> NoExc </exc> <exit-code exit=""> 0 </exit-code>` |
| 298 | `semantics/core.k:68` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Bool ::= isRefV(Val) [function, total]` |
| 299 | `semantics/core.k:69` | rule | - | USED-SOUND fixed semantics | `rule isRefV(ref(_:Int)) => true` |
| 300 | `semantics/core.k:70` | rule | owise | USED-SOUND fixed semantics | `rule isRefV(_:Val) => false [owise]` |
| 301 | `semantics/core.k:75` | syntax | - | UNUSED/INERT for submitted proof term | `syntax HeapVal ::= cellV(Val)` |
| 302 | `semantics/core.k:76` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Bool ::= isCellRef(Val) [function, total]` |
| 303 | `semantics/core.k:77` | rule | - | UNUSED/INERT for submitted proof term | `rule isCellRef(cellRef(_:Int)) => true` |
| 304 | `semantics/core.k:78` | rule | owise | UNUSED/INERT for submitted proof term | `rule isCellRef(_:Val) => false [owise]` |
| 305 | `semantics/core.k:85` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> cellRef(H:Int) => V ... </k> <env> L:Int </env> <scopes> ... L &#124;-> scope(M:Map, _) ... </scopes> <heap> ... H &#124;-> cellV(V:Val) ... </heap> requires "$cells" in_keys(M) [priority(40)]` |
| 306 | `semantics/core.k:95` | syntax | - | UNUSED/INERT for submitted proof term | `syntax Val ::= kwV(String, Val)` |
| 307 | `semantics/core.k:96` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #kwTag(String)` |
| 308 | `semantics/core.k:97` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> KwArg(N:String, E:Expr) => E ~> #kwTag(N) ... </k>` |
| 309 | `semantics/core.k:98` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> V:Val ~> #kwTag(N:String) => kwV(N, V) ... </k> requires notBool isKwV(V)` |
| 310 | `semantics/core.k:100` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Bool ::= isKwV(Val) [function, total]` |
| 311 | `semantics/core.k:101` | rule | - | USED-SOUND fixed semantics | `rule isKwV(kwV(_:String, _:Val)) => true` |
| 312 | `semantics/core.k:102` | rule | owise | USED-SOUND fixed semantics | `rule isKwV(_:Val) => false [owise]` |
| 313 | `semantics/core.k:106` | syntax | - | UNUSED/INERT for submitted proof term | `syntax Val ::= cellsMark(ParamNames)` |
| 314 | `semantics/core.k:107` | syntax | function | UNUSED/INERT for submitted proof term | `syntax ParamNames ::= cellsOf(Val) [function]` |
| 315 | `semantics/core.k:108` | rule | - | UNUSED/INERT for submitted proof term | `rule cellsOf(cellsMark(CVS:ParamNames)) => CVS` |
| 316 | `semantics/core.k:109` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Bool ::= pnMember(String, ParamNames) [function, total]` |
| 317 | `semantics/core.k:110` | rule | - | USED-SOUND fixed semantics | `rule pnMember(_:String, .ParamNames) => false` |
| 318 | `semantics/core.k:111` | rule | - | USED-SOUND fixed semantics | `rule pnMember(X:String, (P:String, R:ParamNames)) => X ==String P orBool pnMember(X, R)` |
| 319 | `semantics/core.k:113` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #cellW(Val, Val)` |
| 320 | `semantics/core.k:114` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #cellW(cellRef(H:Int), V:Val) => .K ... </k> <heap> ... H &#124;-> cellV(_:Val => V) ... </heap>` |
| 321 | `semantics/core.k:117` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #alloc(Val)` |
| 322 | `semantics/core.k:118` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #alloc(V:Val) => ref(N) ... </k> <heap> H:Map => (N &#124;-> V) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc> requires notBool N in_keys(H)` |
| 323 | `semantics/core.k:124` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #loadAll(Module)` |
| 324 | `semantics/core.k:125` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #loadAll(Module(SS:Stmts)) => SS ... </k>` |
| 325 | `semantics/core.k:126` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> (S:Stmt SS:Stmts):Stmts => S ~> SS ... </k>` |
| 326 | `semantics/core.k:127` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> .Stmts => .K ... </k>` |
| 327 | `semantics/core.k:130` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #look(String, Int)` |
| 328 | `semantics/core.k:131` | rule | - | USED-SOUND fixed semantics | `rule <k> Name(X:String) => #look(X, L) ... </k> <env> L:Int </env>` |
| 329 | `semantics/core.k:132` | rule | - | USED-SOUND fixed semantics | `rule <k> #look(X:String, L:Int) => {M[X]}:>Val ... </k> <scopes> ... L &#124;-> scope(M:Map, _:Parent) ... </scopes> requires X in_keys(M)` |
| 330 | `semantics/core.k:145` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> #look(X:String, L:Int) => V ... </k> <scopes> ... L &#124;-> scope(M:Map, _:Parent) ... </scopes> <heap> ... H &#124;-> cellV(V:Val) ... </heap> requires X in_keys(M) andBool "$cells" in_keys(M) andBool pnMember(X, cellsOf({M["$cells"]}:>Val)) andBool {M[X]}:>Val ==K cellRef(H) [priority(40)]` |
| 331 | `semantics/core.k:152` | rule | - | USED-SOUND fixed semantics | `rule <k> #look(X:String, L:Int) => #look(X, P) ... </k> <scopes> ... L &#124;-> scope(M:Map, parent(P:Int)) ... </scopes> requires notBool (X in_keys(M))` |
| 332 | `semantics/core.k:157` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Scope ::= "builtinsScope" [function, total]` |
| 333 | `semantics/core.k:158` | rule | - | USED-SOUND fixed semantics | `rule builtinsScope => scope(.Map [ "len" <- builtinV("len") ] [ "set" <- builtinV("set") ] [ "sum" <- builtinV("sum") ] [ "abs" <- builtinV("abs") ] [ "min" <- builtinV("min") ] [ "max" <- builtinV("max") ] [ "ord" <- builtinV("ord") ] [ "chr" <- builtinV("chr") ] [ "range" <- builtinV("range") ] [ "all" <- builtinV("all") ] [ "any" <- builtinV("any") ] [ "zip" <- builtinV("zip") ] [ "isinstance" <- builtinV("isinstance") ] [ "sorted" <- builtinV("sorted") ] [ "list" <- builtinV("list") ] [ "round" <- builtinV("round") ] [ "bin" <- builtinV("bin") ] [ "enumerate" <- builtinV("enumerate") ] [ "map" <- builtinV("map") ] [ "eval" <- builtinV("eval") ] [ "int" <- typeV("int") ] [ "str" <- typeV("str") ] [ "float" <- typeV("float") ], root)` |
| 334 | `semantics/core.k:185` | syntax | - | UNUSED/INERT for submitted proof term | `syntax ApplyK ::= toCall(Val)` |
| 335 | `semantics/core.k:186` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #evalArgs(Exprs, Vals, ApplyK) &#124; #evalArgCont(Exprs, Vals, ApplyK) &#124; #applyK(ApplyK, Vals)` |
| 336 | `semantics/core.k:189` | rule | - | USED-SOUND fixed semantics | `rule <k> #evalArgs((A:Expr, REST:Exprs), ACC:Vals, K:ApplyK) => A ~> #evalArgCont(REST, ACC, K) ... </k>` |
| 337 | `semantics/core.k:190` | rule | - | USED-SOUND fixed semantics | `rule <k> V:Val ~> #evalArgCont(REST:Exprs, ACC:Vals, K:ApplyK) => #evalArgs(REST, appendVal(ACC, V), K) ... </k>` |
| 338 | `semantics/core.k:191` | rule | - | USED-SOUND fixed semantics | `rule <k> #evalArgs(.Exprs, ACC:Vals, K:ApplyK) => #applyK(K, ACC) ... </k>` |
| 339 | `semantics/core.k:194` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> Int(I:Int) => I ... </k>` |
| 340 | `semantics/core.k:195` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> Bool(B:Bool) => B ... </k>` |
| 341 | `semantics/core.k:196` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> NoneVal => noneV ... </k>` |
| 342 | `semantics/core.k:199` | syntax | function | UNUSED/INERT for submitted proof term | `syntax Bool ::= truthy(Val) [function]` |
| 343 | `semantics/core.k:200` | rule | - | UNUSED/INERT for submitted proof term | `rule truthy(B:Bool) => B` |
| 344 | `semantics/core.k:201` | rule | - | UNUSED/INERT for submitted proof term | `rule truthy(noneV) => false` |
| 345 | `semantics/core.k:202` | rule | - | UNUSED/INERT for submitted proof term | `rule truthy(I:Int) => I =/=Int 0` |
| 346 | `semantics/core.k:203` | rule | - | UNUSED/INERT for submitted proof term | `rule truthy(str(S:IntSeq)) => notBool (S ==K .IntSeq)` |
| 347 | `semantics/core.k:204` | rule | - | UNUSED/INERT for submitted proof term | `rule truthy(list(V:ValSeq)) => notBool (V ==K .ValSeq)` |
| 348 | `semantics/core.k:205` | rule | - | UNUSED/INERT for submitted proof term | `rule truthy(tuple(V:ValSeq)) => notBool (V ==K .ValSeq)` |
| 349 | `semantics/core.k:208` | syntax | function | UNUSED/INERT for submitted proof term | `syntax Val ::= applyUn(String, Val) [function]` |
| 350 | `semantics/core.k:209` | syntax | function | UNUSED/INERT for submitted proof term | `syntax Val ::= applyBin(String, Val, Val) [function]` |
| 351 | `semantics/core.k:210` | syntax | function | UNUSED/INERT for submitted proof term | `syntax Bool ::= applyCmp(String, Val, Val) [function]` |
| 352 | `semantics/core.k:213` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Vals ::= appendVal(Vals, Val) [function, total]` |
| 353 | `semantics/core.k:214` | rule | - | USED-SOUND fixed semantics | `rule appendVal(.Vals, V:Val) => V , .Vals` |
| 354 | `semantics/core.k:215` | rule | - | USED-SOUND fixed semantics | `rule appendVal((V0:Val, VS:Vals), V:Val) => V0 , appendVal(VS, V)` |
| 355 | `semantics/core.k:217` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax ValSeq ::= vals2valSeq(Vals) [function, total]` |
| 356 | `semantics/core.k:218` | rule | - | UNUSED/INERT for submitted proof term | `rule vals2valSeq(.Vals) => .ValSeq` |
| 357 | `semantics/core.k:219` | rule | - | UNUSED/INERT for submitted proof term | `rule vals2valSeq((V:Val, VS:Vals)) => vCons(V, vals2valSeq(VS))` |
| 358 | `semantics/core.k:223` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Int ::= vsLen(ValSeq) [function, total]` |
| 359 | `semantics/core.k:224` | rule | - | UNUSED/INERT for submitted proof term | `rule vsLen(.ValSeq) => 0` |
| 360 | `semantics/core.k:225` | rule | - | UNUSED/INERT for submitted proof term | `rule vsLen(vCons(_:Val, S:ValSeq)) => 1 +Int vsLen(S)` |
| 361 | `semantics/core.k:227` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Int ::= isLen(IntSeq) [function, total]` |
| 362 | `semantics/core.k:228` | rule | - | UNUSED/INERT for submitted proof term | `rule isLen(.IntSeq) => 0` |
| 363 | `semantics/core.k:229` | rule | - | UNUSED/INERT for submitted proof term | `rule isLen(iCons(_:Int, S:IntSeq)) => 1 +Int isLen(S)` |
| 364 | `semantics/core.k:233` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax ValSeq ::= setVSAt(ValSeq, Int, Val) [function, total]` |
| 365 | `semantics/core.k:234` | rule | - | UNUSED/INERT for submitted proof term | `rule setVSAt(.ValSeq, _:Int, _:Val) => .ValSeq` |
| 366 | `semantics/core.k:235` | rule | - | UNUSED/INERT for submitted proof term | `rule setVSAt(vCons(_:Val, S:ValSeq), 0, V:Val) => vCons(V, S)` |
| 367 | `semantics/core.k:236` | rule | - | UNUSED/INERT for submitted proof term | `rule setVSAt(vCons(W:Val, S:ValSeq), I:Int, V:Val) => vCons(W, setVSAt(S, I -Int 1, V)) requires I >Int 0` |
| 368 | `semantics/core.k:238` | rule | - | UNUSED/INERT for submitted proof term | `rule setVSAt(VS:ValSeq, I:Int, _:Val) => VS requires I <Int 0` |
| 369 | `semantics/dict.k:20` | syntax | - | UNUSED/INERT for submitted proof term | `syntax Val ::= dictV(ValSeq, ValSeq)` |
| 370 | `semantics/dict.k:23` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #dictAcc(Entries, ValSeq, ValSeq) &#124; #dictKey(Expr, Entries, ValSeq, ValSeq) &#124; #dictVal(Val, Entries, ValSeq, ValSeq)` |
| 371 | `semantics/dict.k:26` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> DictExpr(ES:Entries) => #dictAcc(ES, .ValSeq, .ValSeq) ... </k>` |
| 372 | `semantics/dict.k:27` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #dictAcc(.Entries, KS:ValSeq, VS:ValSeq) => dictV(KS, VS) ... </k>` |
| 373 | `semantics/dict.k:28` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #dictAcc((Entry(K:Expr, V:Expr), REST:Entries), KS:ValSeq, VS:ValSeq) => K ~> #dictKey(V, REST, KS, VS) ... </k>` |
| 374 | `semantics/dict.k:30` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> KV:Val ~> #dictKey(V:Expr, REST:Entries, KS:ValSeq, VS:ValSeq) => V ~> #dictVal(KV, REST, KS, VS) ... </k>` |
| 375 | `semantics/dict.k:32` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> VV:Val ~> #dictVal(KV:Val, REST:Entries, KS:ValSeq, VS:ValSeq) => #dictAcc(REST, dPutK(KS, KV), dPutV(KS, VS, KV, VV)) ... </k>` |
| 376 | `semantics/dict.k:37` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Bool ::= dHasKey(ValSeq, Val) [function, total]` |
| 377 | `semantics/dict.k:38` | rule | - | UNUSED/INERT for submitted proof term | `rule dHasKey(.ValSeq, _:Val) => false` |
| 378 | `semantics/dict.k:39` | rule | - | UNUSED/INERT for submitted proof term | `rule dHasKey(vCons(A:Val, _:ValSeq), K:Val) => true requires A ==K K` |
| 379 | `semantics/dict.k:40` | rule | - | UNUSED/INERT for submitted proof term | `rule dHasKey(vCons(A:Val, R:ValSeq), K:Val) => dHasKey(R, K) requires notBool (A ==K K)` |
| 380 | `semantics/dict.k:43` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax ValSeq ::= dPutK(ValSeq, Val) [function, total]` |
| 381 | `semantics/dict.k:44` | rule | - | UNUSED/INERT for submitted proof term | `rule dPutK(KS:ValSeq, K:Val) => KS requires dHasKey(KS, K)` |
| 382 | `semantics/dict.k:45` | rule | - | UNUSED/INERT for submitted proof term | `rule dPutK(KS:ValSeq, K:Val) => valSeqConcat(KS, vCons(K, .ValSeq)) requires notBool dHasKey(KS, K)` |
| 383 | `semantics/dict.k:49` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax ValSeq ::= dPutV(ValSeq, ValSeq, Val, Val) [function, total]` |
| 384 | `semantics/dict.k:50` | rule | - | UNUSED/INERT for submitted proof term | `rule dPutV(vCons(A:Val, _:ValSeq), vCons(_:Val, VR:ValSeq), K:Val, V:Val) => vCons(V, VR) requires A ==K K` |
| 385 | `semantics/dict.k:52` | rule | - | UNUSED/INERT for submitted proof term | `rule dPutV(vCons(A:Val, KR:ValSeq), vCons(B:Val, VR:ValSeq), K:Val, V:Val) => vCons(B, dPutV(KR, VR, K, V)) requires notBool (A ==K K)` |
| 386 | `semantics/dict.k:54` | rule | owise | UNUSED/INERT for submitted proof term | `rule dPutV(_KS:ValSeq, VS:ValSeq, _K:Val, V:Val) => valSeqConcat(VS, vCons(V, .ValSeq)) [owise]` |
| 387 | `semantics/dict.k:58` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(boundMethodV(dictV(KS:ValSeq, _:ValSeq), "keys")), .Vals) => #alloc(list(KS)) ... </k> [priority(40)]` |
| 388 | `semantics/dict.k:63` | rule | - | UNUSED/INERT for submitted proof term | `rule applyIndexD(dictV(KS:ValSeq, VS:ValSeq), K:Val) => dGet(KS, VS, K)` |
| 389 | `semantics/dict.k:64` | syntax | function | UNUSED/INERT for submitted proof term | `syntax Val ::= applyIndexD(Val, Val) [function]` |
| 390 | `semantics/dict.k:65` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> Subscript(dictV(KS:ValSeq, VS:ValSeq), K:Val) => applyIndexD(dictV(KS, VS), K) ... </k> [priority(45)]` |
| 391 | `semantics/dict.k:70` | syntax | function | UNUSED/INERT for submitted proof term | `syntax Val ::= dictSet(Val, Val, Val) [function]` |
| 392 | `semantics/dict.k:71` | rule | - | UNUSED/INERT for submitted proof term | `rule dictSet(dictV(KS:ValSeq, VS:ValSeq), K:Val, V:Val) => dictV(dPutK(KS, K), dPutV(KS, VS, K, V))` |
| 393 | `semantics/dict.k:76` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #dsetK(String, Val)` |
| 394 | `semantics/dict.k:77` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> Assign(Subscript(Name(X:String), K:Expr), VV:Val) => K ~> #dsetK(X, VV) ... </k>` |
| 395 | `semantics/dict.k:78` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> KV:Val ~> #dsetK(X:String, VV:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L &#124;-> scope(M:Map => M [ X <- dictSet({M[X]}:>Val, KV, VV) ], _) ... </scopes> requires X in_keys(M) andBool notBool isRefV({M[X]}:>Val)` |
| 396 | `semantics/dict.k:82` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> KV:Val ~> #dsetK(X:String, VV:Val) => #dsetV({M[X]}:>Val, KV, VV) ... </k> <env> L:Int </env> <scopes> ... L &#124;-> scope(M:Map, _) ... </scopes> requires X in_keys(M) andBool isRefV({M[X]}:>Val)` |
| 397 | `semantics/dict.k:86` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #dsetV(Val, Val, Val)` |
| 398 | `semantics/dict.k:87` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #dsetV(ref(H:Int), I:Int, VV:Val) => .K ... </k> <heap> ... H &#124;-> list(VS:ValSeq => setVSAt(VS, normIdxD(I, vsLen(VS)), VV)) ... </heap>` |
| 399 | `semantics/dict.k:90` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Int ::= normIdxD(Int, Int) [function, total]` |
| 400 | `semantics/dict.k:91` | rule | - | UNUSED/INERT for submitted proof term | `rule normIdxD(I:Int, LEN:Int) => I +Int LEN requires I <Int 0` |
| 401 | `semantics/dict.k:92` | rule | - | UNUSED/INERT for submitted proof term | `rule normIdxD(I:Int, _:Int) => I requires I >=Int 0` |
| 402 | `semantics/dict.k:95` | rule | - | UNUSED/INERT for submitted proof term | `rule applyCmp("==", dictV(KS1:ValSeq, VS1:ValSeq), dictV(KS2:ValSeq, VS2:ValSeq)) => (vsLen(KS1) ==Int vsLen(KS2)) andBool dSubset(KS1, VS1, KS2, VS2)` |
| 403 | `semantics/dict.k:97` | syntax | function | UNUSED/INERT for submitted proof term | `syntax Bool ::= dSubset(ValSeq, ValSeq, ValSeq, ValSeq) [function]` |
| 404 | `semantics/dict.k:98` | rule | - | UNUSED/INERT for submitted proof term | `rule dSubset(.ValSeq, .ValSeq, _:ValSeq, _:ValSeq) => true` |
| 405 | `semantics/dict.k:99` | rule | - | UNUSED/INERT for submitted proof term | `rule dSubset(vCons(K:Val, KR:ValSeq), vCons(V:Val, VR:ValSeq), KS2:ValSeq, VS2:ValSeq) => dHasKey(KS2, K) andBool (dGet(KS2, VS2, K) ==K V) andBool dSubset(KR, VR, KS2, VS2)` |
| 406 | `semantics/dict.k:101` | syntax | function | UNUSED/INERT for submitted proof term | `syntax Val ::= dGet(ValSeq, ValSeq, Val) [function]` |
| 407 | `semantics/dict.k:102` | rule | - | UNUSED/INERT for submitted proof term | `rule dGet(vCons(A:Val, _:ValSeq), vCons(B:Val, _:ValSeq), K:Val) => B requires A ==K K` |
| 408 | `semantics/dict.k:103` | rule | - | UNUSED/INERT for submitted proof term | `rule dGet(vCons(A:Val, KR:ValSeq), vCons(_:Val, VR:ValSeq), K:Val) => dGet(KR, VR, K) requires notBool (A ==K K)` |
| 409 | `semantics/float.k:20` | syntax | - | UNUSED/INERT for submitted proof term | `syntax Val ::= Float` |
| 410 | `semantics/float.k:21` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> Float(F:Float) => F ... </k>` |
| 411 | `semantics/float.k:24` | syntax | function,total,opaque/no-evaluators,symbol | UNUSED opaque boundary | `syntax Float ::= intFloatDiv(Int, Float) [function, total, symbol(intFloatDiv), no-evaluators]` |
| 412 | `semantics/float.k:25` | rule | concrete | UNUSED/INERT for submitted proof term | `rule intFloatDiv(I:Int, F:Float) => Int2Float(I, 53, 11) /Float F [concrete]` |
| 413 | `semantics/float.k:27` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBin("/", I:Int, F:Float) => intFloatDiv(I, F)` |
| 414 | `semantics/float.k:30` | syntax | function,total,opaque/no-evaluators,symbol | UNUSED opaque boundary | `syntax Float ::= divII(Int, Int) [function, total, symbol(divII), no-evaluators]` |
| 415 | `semantics/float.k:31` | rule | concrete | UNUSED/INERT for submitted proof term | `rule divII(I1:Int, I2:Int) => Int2Float(I1, 53, 11) /Float Int2Float(I2, 53, 11) [concrete]` |
| 416 | `semantics/float.k:32` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBin("/", I1:Int, I2:Int) => divII(I1, I2)` |
| 417 | `semantics/float.k:37` | syntax | function,total,opaque/no-evaluators,symbol | UNUSED opaque boundary | `syntax Float ::= floatMod(Float, Float) [function, total, symbol(floatMod), no-evaluators]` |
| 418 | `semantics/float.k:38` | rule | concrete | UNUSED/INERT for submitted proof term | `rule floatMod(F1:Float, F2:Float) => F1 -Float (floorFloat(F1 /Float F2) *Float F2) [concrete]` |
| 419 | `semantics/float.k:39` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBin("%", F1:Float, F2:Float) => floatMod(F1, F2)` |
| 420 | `semantics/float.k:43` | rule | - | UNUSED/INERT for submitted proof term | `rule applyCmp("==", F1:Float, F2:Float) => F1 ==Float F2` |
| 421 | `semantics/float.k:44` | rule | - | UNUSED/INERT for submitted proof term | `rule applyCmp("!=", F1:Float, F2:Float) => notBool (F1 ==Float F2)` |
| 422 | `semantics/float.k:50` | syntax | function,total,opaque/no-evaluators,symbol | UNUSED opaque boundary | `syntax Bool ::= floatLt(Float, Float) [function, total, symbol(floatLt), no-evaluators]` |
| 423 | `semantics/float.k:51` | rule | concrete | UNUSED/INERT for submitted proof term | `rule floatLt(F1:Float, F2:Float) => F1 <Float F2 [concrete]` |
| 424 | `semantics/float.k:52` | rule | - | UNUSED/INERT for submitted proof term | `rule applyCmp("<", F1:Float, F2:Float) => floatLt(F1, F2)` |
| 425 | `semantics/float.k:54` | syntax | function,total,opaque/no-evaluators,symbol | UNUSED opaque boundary | `syntax Float ::= absF(Float) [function, total, symbol(absF), no-evaluators]` |
| 426 | `semantics/float.k:55` | rule | concrete | UNUSED/INERT for submitted proof term | `rule absF(F:Float) => absFloat(F) [concrete]` |
| 427 | `semantics/float.k:56` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("abs", F:Float, .Vals) => absF(F)` |
| 428 | `semantics/float.k:61` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> Import(_:String) => .K ... </k>` |
| 429 | `semantics/float.k:65` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= "#mathCeil"` |
| 430 | `semantics/float.k:66` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> Call(Attribute(Name("math"), "ceil"), (E:Expr, .Exprs)) => E ~> #mathCeil ... </k> [priority(40)]` |
| 431 | `semantics/float.k:67` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> V:Val ~> #mathCeil => ceilF(V) ... </k>` |
| 432 | `semantics/float.k:70` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= "#mathFloor"` |
| 433 | `semantics/float.k:71` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> Call(Attribute(Name("math"), "floor"), (E:Expr, .Exprs)) => E ~> #mathFloor ... </k> [priority(40)]` |
| 434 | `semantics/float.k:72` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> V:Val ~> #mathFloor => floorFI(V) ... </k>` |
| 435 | `semantics/float.k:73` | syntax | function,total,symbol | UNUSED/INERT for submitted proof term | `syntax Int ::= floorFI(Val) [function, total, symbol(floorFI)]` |
| 436 | `semantics/float.k:74` | rule | concrete | UNUSED/INERT for submitted proof term | `rule floorFI(I:Int) => I [concrete]` |
| 437 | `semantics/float.k:75` | rule | concrete | UNUSED/INERT for submitted proof term | `rule floorFI(F:Float) => Float2Int(floorFloat(F)) [concrete]` |
| 438 | `semantics/float.k:78` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("floor", V:Val, .Vals) => floorFI(V)` |
| 439 | `semantics/float.k:79` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("ceil", V:Val, .Vals) => ceilF(V)` |
| 440 | `semantics/float.k:82` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #mathPow1(Expr) &#124; #mathPow2(Val)` |
| 441 | `semantics/float.k:83` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> Call(Attribute(Name("math"), "pow"), (E1:Expr, E2:Expr, .Exprs)) => E1 ~> #mathPow1(E2) ... </k> [priority(40)]` |
| 442 | `semantics/float.k:84` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> V1:Val ~> #mathPow1(E2:Expr) => E2 ~> #mathPow2(V1) ... </k>` |
| 443 | `semantics/float.k:85` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> V2:Val ~> #mathPow2(V1:Val) => powF(toF(V1), toF(V2)) ... </k>` |
