COMMAND: python3 /audit-output/evidence/k_rule_inventory.py
ID	KIND	SOURCE	SPAN	ATTRIBUTES/CLASS	ASSESSMENT	TEXT
K0501	syntax	reference-semantics/semantics/float.k	173-173	function,total	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	syntax Int ::= fracPart(IntSeq) [function, total] | fracAcc(IntSeq, Int) [function, total]
K0502	rule	reference-semantics/semantics/float.k	174-174	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule fracPart(.IntSeq) => 0
K0503	rule	reference-semantics/semantics/float.k	175-175	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule fracPart(iCons(46, R:IntSeq)) => fracAcc(R, 0)
K0504	rule	reference-semantics/semantics/float.k	176-176	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule fracPart(iCons(C:Int, R:IntSeq)) => fracPart(R) requires C =/=Int 46
K0505	rule	reference-semantics/semantics/float.k	177-177	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule fracAcc(.IntSeq, A:Int) => A
K0506	rule	reference-semantics/semantics/float.k	178-178	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule fracAcc(iCons(C:Int, R:IntSeq), A:Int) => fracAcc(R, A *Int 10 +Int (C -Int 48))
K0507	syntax	reference-semantics/semantics/float.k	179-179	function,total	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	syntax Int ::= fracScale(IntSeq) [function, total] | fscAcc(IntSeq, Int) [function, total]
K0508	rule	reference-semantics/semantics/float.k	180-180	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule fracScale(.IntSeq) => 1
K0509	rule	reference-semantics/semantics/float.k	181-181	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule fracScale(iCons(46, R:IntSeq)) => fscAcc(R, 1)
K0510	rule	reference-semantics/semantics/float.k	182-182	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule fracScale(iCons(C:Int, R:IntSeq)) => fracScale(R) requires C =/=Int 46
K0511	rule	reference-semantics/semantics/float.k	183-183	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule fscAcc(.IntSeq, A:Int) => A
K0512	rule	reference-semantics/semantics/float.k	184-184	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule fscAcc(iCons(_:Int, R:IntSeq), A:Int) => fscAcc(R, A *Int 10)
K0513	rule	reference-semantics/semantics/float.k	185-185	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBuiltin("float", str(CS:IntSeq), .Vals) => decStrToF(CS)
K0514	rule	reference-semantics/semantics/float.k	186-186	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBuiltin("float", I:Int, .Vals)          => intToF(I)
K0515	rule	reference-semantics/semantics/float.k	187-189	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBuiltin("float", F:Float, .Vals)        => F // ---- float / int division (promoted from mean_absolute_deviation) ----
K0516	syntax	reference-semantics/semantics/float.k	190-190	function,total,symbol	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	syntax Float ::= divFloatIntV(Float, Int) [function, total, symbol(divFloatIntV), no-evaluators]
K0517	rule	reference-semantics/semantics/float.k	191-191	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule divFloatIntV(F:Float, I:Int) => F /Float Int2Float(I, 53, 11) [concrete]
K0518	rule	reference-semantics/semantics/float.k	192-194	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBin("/", F:Float, I:Int) => divFloatIntV(F, I) // ---- int -> float promotion for the remaining mixed arithmetic/compares ----
K0519	syntax	reference-semantics/semantics/float.k	195-195	function,total,symbol	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	syntax Float ::= intToF(Int) [function, total, symbol(intToF), no-evaluators]
K0520	rule	reference-semantics/semantics/float.k	196-196	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule intToF(I:Int) => Int2Float(I, 53, 11) [concrete]
K0521	rule	reference-semantics/semantics/float.k	197-197	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBin("+", I:Int, F:Float) => addF(intToF(I), F)
K0522	rule	reference-semantics/semantics/float.k	198-198	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBin("+", F:Float, I:Int) => addF(F, intToF(I))
K0523	rule	reference-semantics/semantics/float.k	199-199	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBin("-", I:Int, F:Float) => subF(intToF(I), F)
K0524	rule	reference-semantics/semantics/float.k	200-200	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBin("-", F:Float, I:Int) => subF(F, intToF(I))
K0525	rule	reference-semantics/semantics/float.k	201-201	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBin("*", I:Int, F:Float) => mulF(intToF(I), F)
K0526	rule	reference-semantics/semantics/float.k	202-202	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBin("*", F:Float, I:Int) => mulF(F, intToF(I))
K0527	rule	reference-semantics/semantics/float.k	203-203	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyCmp("<", I:Int, F:Float) => floatLt(intToF(I), F)
K0528	rule	reference-semantics/semantics/float.k	204-204	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyCmp("<", F:Float, I:Int) => floatLt(F, intToF(I))
K0529	rule	reference-semantics/semantics/float.k	205-205	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyCmp(">", I:Int, F:Float) => gtF(intToF(I), F)
K0530	rule	reference-semantics/semantics/float.k	206-208	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyCmp(">", F:Float, I:Int) => gtF(F, intToF(I)) // ---- conversions: int(float) truncates toward zero; float(int); round; math.sqrt ----
K0531	syntax	reference-semantics/semantics/float.k	209-209	function,total,symbol	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	syntax Int ::= truncF(Float) [function, total, symbol(truncF), no-evaluators]
K0532	rule	reference-semantics/semantics/float.k	210-210	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule truncF(F:Float) => #if F >=Float 0.0 #then Float2Int(floorFloat(F)) #else Float2Int(ceilFloat(F)) #fi [concrete]
K0533	rule	reference-semantics/semantics/float.k	211-212	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBuiltin("int", F:Float, .Vals) => truncF(F)
K0534	rule	reference-semantics/semantics/float.k	213-213	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBuiltin("float", I:Int, .Vals)   => intToF(I)
K0535	rule	reference-semantics/semantics/float.k	214-216	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBuiltin("float", F:Float, .Vals) => F // round: Python half-even (banker's); round(F, N) scales by 10^N
K0536	syntax	reference-semantics/semantics/float.k	217-217	function,total,symbol	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	syntax Int ::= roundF(Float) [function, total, symbol(roundF), no-evaluators]
K0537	rule	reference-semantics/semantics/float.k	218-222	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule roundF(F:Float) => #if (F -Float floorFloat(F)) ==Float 0.5 #then (#if Float2Int(floorFloat(F)) %Int 2 ==Int 0 #then Float2Int(floorFloat(F)) #else Float2Int(ceilFloat(F)) #fi) #else Float2Int(floorFloat(F +Float 0.5)) #fi [concrete]
K0538	syntax	reference-semantics/semantics/float.k	223-223	function,total,symbol	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	syntax Float ::= roundFN(Float, Int) [function, total, symbol(roundFN), no-evaluators]
K0539	rule	reference-semantics/semantics/float.k	224-226	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule roundFN(F:Float, N:Int) => Int2Float(roundF(F *Float Int2Float(10 ^Int N, 53, 11)), 53, 11) /Float Int2Float(10 ^Int N, 53, 11) [concrete]
K0540	rule	reference-semantics/semantics/float.k	227-227	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBuiltin("round", F:Float, .Vals)        => roundF(F)
K0541	rule	reference-semantics/semantics/float.k	228-229	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBuiltin("round", F:Float, N:Int, .Vals) => roundFN(F, N)
K0542	syntax	reference-semantics/semantics/float.k	230-230	function,total,symbol	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	syntax Float ::= sqrtF(Float) [function, total, symbol(sqrtF), no-evaluators]
K0543	rule	reference-semantics/semantics/float.k	231-231	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule sqrtF(F:Float) => sqrtFloat(F) [concrete]
K0544	syntax	reference-semantics/semantics/float.k	232-232	-	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	syntax KItem ::= "#mathSqrt"
K0545	rule	reference-semantics/semantics/float.k	233-233	priority	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> Call(Attribute(Name("math"), "sqrt"), (E:Expr, .Exprs)) => E ~> #mathSqrt ... </k> [priority(40)]
K0546	rule	reference-semantics/semantics/float.k	234-234	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> F:Float ~> #mathSqrt => sqrtF(F) ... </k>
K0547	rule	reference-semantics/semantics/float.k	235-242	priority	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> I:Int ~> #mathSqrt => sqrtF(intToF(I)) ... </k> // ---- min / max over a FLOAT list — FLOAT branch of the shared #minCont0/#maxCont0 folds (which // seed/step with `requires isInt(V)`, so they are STUCK on floats). These add the `requires // isFloat(V)` seed + a Float-accumulator fold via K's minFloat/maxFloat — concrete for krun. A proof // over a SYMBOLIC float list intercepts min/max problem-locally to an opaque minVF/maxVF (at // #applyK, priority 40, in its verification.k) BEFORE #minAcc0, so this fold is krun-only. Additive: // the isFloat guard is disjoint from the existing isInt one.
K0548	syntax	reference-semantics/semantics/float.k	243-243	-	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	syntax KItem ::= #maxAccF(Iterable, Float) | #maxContF(Float)
K0549	rule	reference-semantics/semantics/float.k	244-244	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAccF(R, {V}:>Float) ... </k> requires isFloat(V)
K0550	rule	reference-semantics/semantics/float.k	245-245	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #maxAccF(IT:Iterable, M:Float) => #iterNext(IT) ~> #maxContF(M) ... </k>
K0551	rule	reference-semantics/semantics/float.k	246-246	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #iterDone ~> #maxContF(M:Float) => M ... </k>
K0552	rule	reference-semantics/semantics/float.k	247-249	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxContF(M:Float) => #maxAccF(R, maxFloat(M, {V}:>Float)) ... </k> requires isFloat(V)
K0553	syntax	reference-semantics/semantics/float.k	250-250	-	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	syntax KItem ::= #minAccF(Iterable, Float) | #minContF(Float)
K0554	rule	reference-semantics/semantics/float.k	251-251	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAccF(R, {V}:>Float) ... </k> requires isFloat(V)
K0555	rule	reference-semantics/semantics/float.k	252-252	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #minAccF(IT:Iterable, M:Float) => #iterNext(IT) ~> #minContF(M) ... </k>
K0556	rule	reference-semantics/semantics/float.k	253-253	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #iterDone ~> #minContF(M:Float) => M ... </k>
K0557	rule	reference-semantics/semantics/float.k	254-260	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #iterYield(V:Val, R:Iterable) ~> #minContF(M:Float) => #minAccF(R, minFloat(M, {V}:>Float)) ... </k> requires isFloat(V) // ---- sum over a float list (krun; mirrors the min/max float paths). The Int-only shared // #sumCont sticks on a Float yield; switch to a Float-headed fold via addF (concrete twin). // The switch guard carries the SYNTACTIC negation of the Int rule's guard so a symbolic proof // with isInt(V) in its path condition refutes this branch without sort reasoning.
K0558	syntax	reference-semantics/semantics/float.k	261-261	-	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	syntax KItem ::= #sumAccF(Iterable, Float) | #sumContF(Float)
K0559	rule	reference-semantics/semantics/float.k	262-264	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAccF(R, addF(intToF(ACC), {V}:>Float)) ... </k> requires isFloat(V) andBool notBool (isInt(V) orBool isBool(V))
K0560	rule	reference-semantics/semantics/float.k	265-265	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #sumAccF(IT:Iterable, ACC:Float) => #iterNext(IT) ~> #sumContF(ACC) ... </k>
K0561	rule	reference-semantics/semantics/float.k	266-266	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #iterDone ~> #sumContF(ACC:Float) => ACC ... </k>
K0562	rule	reference-semantics/semantics/float.k	267-269	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumContF(ACC:Float) => #sumAccF(R, addF(ACC, {V}:>Float)) ... </k> requires isFloat(V)
K0563	rule	reference-semantics/semantics/float.k	270-272	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumContF(ACC:Float) => #sumAccF(R, addF(ACC, intToF(intOf(V)))) ... </k> requires isInt(V) orBool isBool(V)
K0564	syntax	reference-semantics/semantics/functions.k	8-13	-	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	syntax KItem ::= frame(continuation: K, callerEnv: Int, savedLoc: Int) | #bindP(ParamNames, Vals) | "#pop" | "#endcall" // ==== def / anonymous closure =============================================
K0565	rule	reference-semantics/semantics/functions.k	14-17	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> FuncDef(F:String, Params(PNS:ParamNames), BODY:Stmts) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ F <- closureVal(PNS, BODY, L) ], _) ... </scopes>
K0566	syntax	reference-semantics/semantics/functions.k	18-18	-	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	syntax Expr ::= closureExpr(ParamNames, Stmts)
K0567	rule	reference-semantics/semantics/functions.k	19-26	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> closureExpr(PNS:ParamNames, BODY:Stmts) => closureVal(PNS, BODY, L) ... </k> <env> L:Int </env> // ==== annotated def/lambda (closure cells; spec 2.3) ====================== // closureValC(params, cellvars, body, captured-cells). No frame anchor: all // enclosing-local reads are freevars (symtable-complete) and go through the // captured cells; everything else is global/builtin, so the callee frame's // parent is the module scope (0) — sound after the defining frame dies.
K0568	syntax	reference-semantics/semantics/functions.k	27-30	-	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	syntax Val ::= closureValC(ParamNames, ParamNames, Stmts, Map) // capture: resolve each freevar to the enclosing frame's cellRef, then bind // (FuncDef) or yield (Lambda) the closure value.
K0569	syntax	reference-semantics/semantics/functions.k	31-32	-	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	syntax KItem ::= #mkClosure(String, ParamNames, ParamNames, ParamNames, Stmts, Map) | #mkLambda(ParamNames, ParamNames, ParamNames, Stmts, Map)
K0570	rule	reference-semantics/semantics/functions.k	33-35	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> FuncDef(F:String, Params(PNS:ParamNames), CellVars(CVS:ParamNames), FreeVars(FVS:ParamNames), BODY:Stmts) => #mkClosure(F, PNS, CVS, FVS, BODY, .Map) ... </k>
K0571	rule	reference-semantics/semantics/functions.k	36-41	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #mkClosure(F:String, PNS:ParamNames, CVS:ParamNames, (FV:String, FVR:ParamNames), BODY:Stmts, CM:Map) => #mkClosure(F, PNS, CVS, FVR, BODY, CM [ FV <- {M[FV]}:>Val ]) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires FV in_keys(M)
K0572	rule	reference-semantics/semantics/functions.k	42-46	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #mkClosure(F:String, PNS:ParamNames, CVS:ParamNames, .ParamNames, BODY:Stmts, CM:Map) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ F <- closureValC(PNS, CVS, BODY, CM) ], _) ... </scopes>
K0573	rule	reference-semantics/semantics/functions.k	47-49	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> Lambda(Params(PNS:ParamNames), E:Expr) => closureVal(PNS, Return(E) .Stmts, L) ... </k> <env> L:Int </env>
K0574	rule	reference-semantics/semantics/functions.k	50-52	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> Lambda(Params(PNS:ParamNames), CellVars(CVS:ParamNames), FreeVars(FVS:ParamNames), E:Expr) => #mkLambda(PNS, CVS, FVS, Return(E) .Stmts, .Map) ... </k>
K0575	rule	reference-semantics/semantics/functions.k	53-58	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #mkLambda(PNS:ParamNames, CVS:ParamNames, (FV:String, FVR:ParamNames), BODY:Stmts, CM:Map) => #mkLambda(PNS, CVS, FVR, BODY, CM [ FV <- {M[FV]}:>Val ]) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires FV in_keys(M)
K0576	rule	reference-semantics/semantics/functions.k	59-62	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #mkLambda(PNS:ParamNames, CVS:ParamNames, .ParamNames, BODY:Stmts, CM:Map) => closureValC(PNS, CVS, BODY, CM) ... </k> // ==== bind params ========================================================
K0577	rule	reference-semantics/semantics/functions.k	63-63	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #bindP(.ParamNames, .Vals) => .K ... </k>
K0578	rule	reference-semantics/semantics/functions.k	64-67	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #bindP((P:String, PS:ParamNames), (V:Val, VS:Vals)) => #bindP(PS, VS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ P <- V ], _) ... </scopes> // a param that is a cellvar was pre-bound to its cell at frame entry
K0579	rule	reference-semantics/semantics/functions.k	68-71	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #bindP((P:String, PS:ParamNames), (V:Val, VS:Vals)) => #cellW({M[P]}:>Val, V) ~> #bindP(PS, VS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes>
K0580	rule	reference-semantics/semantics/functions.k	78-79	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> Return(V:Val) ~> _ => #pop </k> <ret> noRet => retV(V) </ret>
K0581	rule	reference-semantics/semantics/functions.k	80-84	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #endcall => #pop ... </k> <ret> noRet => retV(noneV) </ret> // pop: restore env, DEALLOCATE the callee frame, and wind scopeLoc back (LIFO allocation // makes the saved loc the callee frame's own loc). Sound because no closureVal outlives its // defining frame (frontend subset: no returned/stored closures; module defs live in loc 0).
K0582	rule	reference-semantics/semantics/functions.k	85-90	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> #pop => V ~> CONT </k> <ret>   retV(V) => noRet </ret> <stack> ListItem(frame(CONT:K, CALLERL:Int, SAVEDL:Int)) => .List ... </stack> <env>   L:Int => CALLERL </env> <scopes> SC:Map => SC [ L <- undef ] </scopes> <scopeLoc> _ => SAVEDL </scopeLoc>
K0583	rule	reference-semantics/semantics/int.k	7-8	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyUn("-", I:Int) => 0 -Int I
K0584	rule	reference-semantics/semantics/int.k	9-10	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBin("+",  I1:Int, I2:Int) => I1 +Int I2 // Bool participates in int arithmetic (x += (a == b))
K0585	rule	reference-semantics/semantics/int.k	11-11	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBin("+",  I:Int, B:Bool) => I +Int #if B #then 1 #else 0 #fi
K0586	rule	reference-semantics/semantics/int.k	12-12	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyBin("+",  B:Bool, I:Int) => #if B #then 1 #else 0 #fi +Int I
